"","","","","","Change (%)",""
"was driven by the initiatives of the Government to","","Weight","","","",""
"","Division","in IIP","2020(a) 2021 (b)","","",""
"","","","","","2019/20","2020/21"
"improve  the  domestic  production  capacity,  while","","(%)","","","",""
"","","","","","(a)","(b)"
"imposing  import  restrictions  on  tiles  and  ceramic","","","","","",""
"","1. Manufacture of Food Products","35.2","109.1","109.3","3.3","0.2"
"products. The rebound observed in the construction","2. Manufacture of Beverages","3.8","96.5","106.0","-6.7","9.8"
"","3. Manufacture of Tobacco Products","1.7","72.1","77.9","-11.0","8.0"
"sector  during 
the  year  also  contributed 
to 
the","","","","","",""
"","4. Manufacture of Textiles","3.3","102.2","128.7","-5.6","25.9"
"improvement  in  demand  for  products  from  these","5. Manufacture of Wearing Apparel","19.8","81.2","95.4","-30.7","17.5"
"","6. Manufacture of Leather and Related","0.3","77.6","78.6","-33.5","1.3"
"subsectors. Increases in the production of cement,","Products","","","","",""
"","7. Manufacture of Wood and Products of Wood","","","","",""
"tiles,  glass  bottles,  roofing  sheets  and  porcelain","and Cork, Except Furniture; Manufacture of","0.2","71.8","82.5","-29.5","15.0"
"","Articles of Straw and Plaiting Material","","","","",""
"tableware were key contributors to the expansion in","8. Manufacture of Paper and Paper Products","1.7","81.8","86.5","-15.4","5.8"
"","9.
Printing and Reproduction of Recorded","","","","",""
"","","","","","",""
"production in the manufacture of other nonmetallic","Media","1.4","112.6","117.9","9.4","4.8"
"","10. Manufacture of Coke and Refined","","","","",""
"mineral products subsector. In particular, the overall","","7.4","97.2","71.1","-9.0","-26.8"
"","Petroleum Products","","","","",""
"","11. Manufacture of Chemicals and Chemical","","","","",""
"","","","","","",""
"expansions 
in 
the  manufacture  of  basic  metals","Products","4.1","94.2","89.8","-7.8","-4.7"
"","12. Manufacture of Basic Pharmaceutical","","","","",""
"and  the  manufacture  of  fabricated  metal  products","","0.1","104.7","117.9","6.6","12.6"
"","Products and Pharmaceutical Preparations","","","","",""
"","","","","","",""
"subsectors were primarily driven by the increased","13. Manufacture of Rubber and Plastic Products","5.7","75.8","102.9","-28.8","35.7"
"","14. Manufacture of Other Non-metallic Mineral","","","","",""
"","","7.8","111.7","137.4","-5.2","23.0"
"production in lead and aluminum, aluminum bars,","Products","","","","",""
"","15. Manufacture of Basic Metals","2.4","110.7","133.6","-10.9","20.7"
"and steel and aluminum products.","","","","","",""
"","16. Manufacture of Fabricated Metal Products","","","","",""
"","","1.3","100.9","124.6","-8.9","23.5"
"","(Except Machinery and Equipment)","","","","",""
"","","","","","",""
"production  of  coke  and  refined  petroleum","17. Manufacture of Electrical Equipment","2.0","67.5","81.4","-22.3","20.6"
"","18. Manufacture of Machinery and Equipment","0.7","102.9","122.0","3.6","18.6"
"products witnessed a sharp decline during the","n.e.c.","","","","",""
"","19. Manufacture of Furniture","0.8","77.0","77.5","-14.7","0.7"
"year, on top of the contraction reported in 2020,","","","","","",""
"","20. Other Manufacturing","0.3","65.7","69.6","-0.5","6.0"
"owing  to  the  disruptions  in  the  operations  of","","","","","",""
"","Index of Industrial Production","","97.1","104.2","-10.2","7.3"
"the 
refinery 
of 
the 
ceylon 
petroleum","(a) Revised","Source: Department of Census and Statistics","","","",""
