"","","","","","","Population By District","","","","","","",""
"","","","","","","","","","","","","","‘000 Persons"
"District","1981 (a)","2001 (b)","2011 (b)","2012 (c)","2013 (c)","2014 (c)","2015 (c)","2016 (c)(d)","2017 (c)(e)","2018 (c)(e)","2019 (c)(e)","2020 (c)(e)","2021 (c)(e)"
"Colombo","1,699","2,251","2,606","2,330","2,339","2,353","2,367","2,387","2,419","2,439","2,448","2,455","2,480"
"Gampaha","1,391","2,064","2,189","2,310","2,324","2,339","2,355","2,373","2,391","2,409","2,417","2,423","2,443"
"Kalutara","830","1,066","1,151","1,225","1,233","1,242","1,252","1,263","1,271","1,281","1,284","1,287","1,296"
"Galle","815","991","1,094","1,066","1,074","1,083","1,092","1,104","1,113","1,124","1,130","1,135","1,147"
"Matara","644","761","847","817","824","832","840","848","851","858","863","866","873"
"Hambantota","424","526","577","602","610","618","625","634","647","655","661","668","676"
"Badulla","641","780","902","818","826","836","846","857","864","873","880","886","895"
"Moneragala","274","398","447","453","460","467","475","483","485","491","496","501","505"
"Kandy","1,048","1,279","1,455","1,381","1,391","1,404","1,417","1,434","1,452","1,468","1,476","1,483","1,501"
"Matale","357","441","503","486","491","496","501","508","514","519","522","525","530"
"Nuwara Eliya","604","704","769","715","724","733","741","749","756","763","768","773","780"
"Kegalle","685","786","828","843","849","856","863","871","877","884","887","891","898"
"Ratnapura","797","1,016","1,149","1,092","1,102","1,114","1,125","1,138","1,151","1,163","1,171","1,179","1,190"
"Kurunegala","1,212","1,460","1,583","1,624","1,634","1,647","1,661","1,680","1,694","1,711","1,719","1,726","1,743"
"Puttalam","493","710","794","765","771","778","786","797","814","825","832","837","849"
"Anuradhapura","588","745","839","864","874","886","896","909","918","930","937","943","954"
"Polonnnaruwa","262","359","415","408","411","416","422","428","431","436","440","443","448"
"Ampara","389","593","654","652","658","666","674","686","705","719","728","736","752"
"Batticaloa","330","486","549","528","531","535","541","551","560","570","575","579","590"
"Trincomalee","256","340","381","381","385","391","396","404","412","421","426","431","441"
"Jaffna (f)","739","491","542","585","589","593","596","600","608","613","617","621","626"
"Kilinochchi (f)","92","127","154","114","116","118","119","120","124","126","129","130","133"
"Mannar","106","152","163","100","101","102","103","105","107","109","111","112","114"
"Mullaitivu","77","121","125","93","93","95","96","97","96","96","97","98","98"
"Vavuniya","95","150","176","173","175","178","181","183","184","187","189","191","194"
"Total","14,847","18,797","20,892","20,425","20,585","20,778","20,970","21,209","21,444","21,670","21,803","21,919","22,156"
"(a)  Census of Population and Housing - 1981","","","","","","","","","","","Source:  Registrar General’s Department","",""
"(b)  Based on the Census of Population and Housing - 2001","","","","","","","","","","","","",""
