"","","","","","","","","","","","","","","","","TABLE 28"
"","","","Performance of Selected State Owned Industrial Enterprises","","","","","","","","","","","","",""
"Corporation/Enterprise","","","2017","","","2018","","","2019","","","2020 (a)","","","2021 (b)",""
"","Unit","","","","","","","","","","","","","","",""
"and Products","","Capacity","Production","Sales","Capacity","Production","Sales","Capacity","Production","Sales","Capacity","Production","Sales","Capacity","Production","Sales"
"1.  Lanka Salt Ltd","","","","","","","","","","","","","","","",""
"Common Salt","mt","80,000","74,108","49,051","80,000","68,834","47,317","70,000","57,290","62,275","70,000","60,076","56,988","70,000","63,254","78,725"
"2.  State Timber Corporation (c)","","","","","","","","","","","","","","","",""
"Sawn Timber","m3 ‘000","5","5","241","5","4","250","4","5","295","7","3","222","8","4","309"
"Logs","“","147","146","3,654","127","130","3,249","109","123","3,445","101","107","3,299","104","128","4,929"
"Sleepers","Nos. ‘000","62","7","153","42","44","499","49","37","530","50","38","389","40","29","287"
"3.  National Paper Co. Ltd (c)(d)","","","","","","","","","","","","","","","",""
"Paper & Paper Products","mt","12,000","-","1,027","12,000","-","774","-","-","-","750","81","8.2","6,000","1,154","125"
"4.  State Printing Corporation (c)","","","","","","","","","","","","","","","",""
"80 pgs Exercise Books","mn","12","11","220","12","7","222","10","6","166","11","5","122","10","5","138"
"Text Books","""","13","8","677","13","3","289","13","10","979","20","14","1,096","20","15","1,030"
"Lottery Tickets","""","420","377","","420","427","","525","503","","756","537","","756","495",""
"","","","","319","","","360","","","427","","","332","","","270"
"Commercial Printing Jobs","Nos.","800","410","","800","448","","1,200","448","","1,200","306","","1,200","306",""
"5.  Sri Lanka Ayurvedic Drugs","","","","","","","","","","","","","","","",""
"Corporation","","","","","","","","","","","","","","","",""
"Syrup and Oil","mt","609","408","233","724","419","262","640","507","405","692","425","326","755","545","344"
"Other Ayurvedic Drugs","mt ‘000","86","71","42","90","69","39","146","102","61","123","86","63","107","170","63"
"6.  Ceylon Petroleum Corporation (e)","","","","","","","","","","","","","","","",""
"Super Petrol / Gasoline","mt","182,962","164,564","1,057,079","162,400","165,428","1,172,540","180,500","185,915","1,148,482","187,790","164,416","1,025,126","168,889","124,092","1,102,373"
"Kerosene","“","50,000","59,782","155,624","56,760","35,195","203,604","62,610","38,345","202,841","69,300","109,165","175,568","60,102","98,284","188,234"
"Naphtha","“","141,378","141,688","139,287","118,500","140,661","137,123","130,600","162,019","161,960","157,720","156,953","164,649","143,485","106,956","10,624"
"Diesel","“","595,181","506,046","1,919,788","500,300","567,577","1,793,763","570,900","624,462","1,998,724","629,953","537,645","1,574,490","568,544","370,594","1,706,155"
"Avtur","“","251,715","236,360","456,293","227,040","237,270","498,841","250,430","258,986","473,780","277,200","157,279","188,731","240,408","130,572","223,854"
"Fuel oil","“","553,340","430,808","780,548","478,800","424,392","668,829","553,390","483,241","757,297","516,594","465,419","822,319","436,590","359,021","373,121"
"7.  Lanka Mineral Sands Ltd","","","","","","","","","","","","","","","",""
"Ilmenite & H.T. Ilmenite","mt","44,975","51,940","41,789","75,140","60,847","33,000","65,000","43,789","34,349","65,000","18,016","13,489","65,000","49,068","79,947"
"Rutile","“","2,100","2,174","1,979","2,280","2,174","2,780","3,500","1,959","3,173","3,500","1,311","1,000","3,500","1,881","750"
"Crude Zircon / Zircon","“","520","8,569","945","915","785","650","1,500","971","1,278","1,500","419","466","1,500","400","432"
"8.  Lanka Phosphate Ltd","","","","","","","","","","","","","","","",""
"Phosphate","mt","76,000","42,435","44,621","67,320","46,530","47,343","61,200","47,438","47,084","84,000","52,103","53,013","84,000","68,217","68,022"
"9.  Kahatagaha Graphite Lanka Ltd","","","","","","","","","","","","","","","",""
"","mt","840","811","530","780","722","494","780","710","411","780","579","340","780","422","364"
"Graphite","","","","","","","","","","","","","","","",""
"10. State Pharmaceuticals Manufacturing","","","","","","","","","","","","","","","",""
"Corporation of Sri Lanka","","","","","","","","","","","","","","","",""
"Pharmaceuticals (Tablets & Capsules)","mn","2,000","1,523","3,175","1,800","1,897","4,621","2,100","2,400","5,646","3,000","3,015","7,647","2,800","3,044","8,539"
"(a)  Revised","","","","","","","","","","","","","","","Sources: Respective Institutions",""
