"CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2021","","","","","",""
"","","Table 8.22","","","",""
"","Summary of Transactions on Foreign Currency Accounts","","","","",""
"","","","","","","USD million"
"","Inward","","","","Closing Balance",""
"","","","Outward Remittances","","",""
"Category of Account","Remittances","","","","as of 31 December",""
"","2020","2021","2020","2021","2020","2021"
"Personal Foreign Currency Accounts","766.7","663.2","205.6","234.1","2,666.2","2,715.4"
"Business Foreign Currency Accounts","6,796.7","7,647.9","2,805.7","3,756.9","1,951.0","3,071.7"
"Inward Investment Accounts","1,382.9","854.7","1,901.1","1,221.9","1,861.1","1,969.2"
"Special Deposit Accounts (SDAs)","214.91","207.11","3.22","83.0","290.0","585.23"
"Outward Investment Accounts","138.2","11.2","8.4","6.9","n.a.","n.a."
"","1 Except for funds transferred from Inward Investment Accounts, Offshore Banking Unit Accounts and Foreign Currency Deposits.","","","","","Source:  Central Bank of Sri Lanka"
"","2 Outward remittances were occurred from 07 October 2020 upon maturity of deposits under SDAs.","","","","",""
