"","","2017","","","2018","","","2019","","","2020","","","2021 (c ) (d)",""
"","","","Foreign","","","Foreign","","","Foreign","","","Foreign","","","Foreign"
"Resort Region","Accommodation","No. of","Guest","Accommodation","No. of","Guest","Accommodation","No. of","Guest","Accommodation","No. of","Guest","Accommodation","No. of","Guest"
"","Units","Rooms","Nights","Units","Rooms","Nights","Units","Rooms","Nights","Units","Rooms","Nights","Units","Rooms","Nights"
"","","","‘000","","","‘000","","","‘000","","","‘000","","","‘000"
"All Island","401","23,477","11,609","457","24,757","12,608","474","24,831","9,772","484","25,407","1,946","480","25,958","683"
"Region","","","","","","","","","","","","","","",""
"Ancient Cities","84","4,024","1,894","97","4,360","2,092","101","4,462","1,803","108","4,768","118","","",""
"Colombo City","41","5,310","2,806","43","5,607","2,922","44","5,638","2,057","44","5,638","461","","",""
"East Coast","27","1,129","444","28","1,149","599","31","1,201","435","31","1,208","91","","",""
"Greater Colombo","62","3,225","1,630","63","3,269","1,703","60","3,052","1,171","65","3,208","309","","",""
"Hill Country","36","1,356","623","46","1,489","716","48","1,548","579","50","1,674","150","","",""
"South Coast","145","8,270","4,173","173","8,676","4,521","182","8,695","3,686","178","8,662","794","","",""
"North Area","6","163","40","7","207","55","8","235","41","8","249","23","","",""
"District","","","","","","","","","","","","","","",""
"Ampara","","","","","","","","","","","","","6","113","-"
"Anuradhapura","","","","","","","","","","","","","16","737","2"
"Badulla","","","","","","","","","","","","","12","299","0.2"
"Batticaloa","","","","","","","","","","","","","13","642","2"
"Colombo","","","","","","","","","","","","","54","6,144","248"
"Galle","","","","","","","","","","","","","89","4,379","80"
"Gampaha","","","","","","","","","","","","","37","1,900","48"
"Hambantota","","","","","","","","","","","","","26","1,236","10"
"Jaffna","","","","","","","","","","","","","6","204","1"
"Kalutara","","","","","","","","","","","","","36","2,789","141"
"Kandy","","","","","","","","","","","","","44","1,937","45"
"Kegalle","","","","","","","","","","","","","3","30","0.02"
"Kilinochchi","","","","","","","","","","","","","","","-"
"Kurunegala","","","","","","","","","","","","","4","67","1"
"Mannar","","","","","","","","","","","","","1","11","-"
"Matale","","","","","","","","","","","","","34","1,494","18"
"Matara","","","","","","","","","","","","","16","605","29"
"Moneragala","","","","","","","","","","","","","8","274","12"
"Mullaitivu","","","","","","","","","","","","","","","-"
"Nuwara Eliya","","","","","","","","","","","","","30","1,213","2"
"Polonnaruwa","","","","","","","","","","","","","10","418","2"
"Puttalam","","","","","","","","","","","","","16","813","38"
"Ratnapura","","","","","","","","","","","","","7","223","0.3"
"Trincomalee","","","","","","","","","","","","","11","410","4"
"Vavuniya","","","","","","","","","","","","","1","20","-"
"","(a)  SLTDA has categorised on district wise basis from 2021 onwards.","","","","","","","","","","","Source:  Sri Lanka Tourism Development Authority","","",""
"","(b)  Graded Accommodation (includes boutique hotels) and when establishments are upgraded/downgraded or not in operation, accommodation units and room","","","","","","","","","","","","","",""
"count can be changed.","","","","","","","","","","","","","","",""
"(c)  Provisional","","","","","","","","","","","","","","",""
"(d)  The number of foreign guest nights depends on the number of hotels that renewed their license for the year 2022 and were recorded from the safe and secure","","","","","","","","","","","","","","",""
"","certified hotels (Level 1 / Level 2 & Other).","","","","","","","","","","","","","",""
