"","Capacity Utilisation in Factory Industry","","","",""
"","","","","","Per cent"
"Category","2017","2018","2019","2020","2021 (a)"
"1.
Manufacture of Food Products","78","83","83","82","81"
"2.
Manufacture of Beverages","81","80","72","66","69"
"3.
Manufacture of Tobacco Products","76","72","77","69","74"
"4.
Manufacture of Textiles","88","87","87","74","83"
"5.
Manufacture of Wearing Apparel","83","84","83","56","63"
"6.
Manufacture of Leather and Related Products","85","84","87","66","57"
"7.
Manufacture of Wood and Products of Wood and Cork, except Furniture; Articles","88","84","73","52","63"
"of Straw and Plaiting Materials","","","","",""
"8.
Manufacture of Paper and Paper Products","72","60","70","63","50"
"9.
Printing and Reproduction of Recorded Media","98","96","92","74","47"
"10. Manufacture of Coke and Refined Petroleum Products","73","61","77","71","52"
"11. Manufacture of Chemicals and Chemical Products","59","65","66","50","43"
"12. Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations","88","83","79","83","88"
"13. Manufacture of Rubber and Plastic Products","84","86","77","57","76"
"14. Manufacture of Other Non-metallic Mineral Products","84","82","80","75","87"
"15. Manufacture of Basic Metals","77","76","74","45","39"
"16. Manufacture of Fabricated Metal Products (except Machinery Equipment)","68","70","64","54","63"
"17. Manufacture of Electrical Equipment","81","75","81","71","76"
"18. Manufacture of Machinery and Equipment (n.e.c.)","82","71","72","69","76"
"19. Manufacture of Furniture","86","83","79","69","66"
"20. Other Manufacturing","94","78","63","64","49"
"Industry Average","81","81","81","67","69"
"(b)  Provisional","","","Source: Department of Census and Statistics","",""
