"","Assets Side of Reserve Money and Broad Money (M2b)","","","","","","",""
"","","","","","","","","Rs. billion"
"","","","","","","Change","",""
"","End","End","","","","","",""
"Item","","","","2020","","","2021",""
"","2020","2021 (a)","","","","","",""
"","","","Amount","","%","Amount","","%"
"Reserve Money","964.4","1,305.8","31.8","","3.4","341.4","","35.4"
"Net Foreign Assets of the Central Bank","526.8","-387.3","-369.2","","-41.2","-914.0","","-173.5"
"Net Domestic Assets of the Central Bank","437.7","1,693.1","401.1","","1,095.6","1,255.4","","286.8"
"Net Credit to the Government","868.9","2,094.1","505.9","","139.3","1,225.2","","141.0"
"Claims on Commercial Banks","114.5","143.2","112.7","","6,181.0","28.7","","25.1"
"Other Items (net) (b)","-545.7","-544.2","-217.5","","-66.2","1.5","","0.3"
"Broad Money (M2b)","9,405.7","10,647.3","1,781.6","","23.4","1,241.6","","13.2"
"Net Foreign Assets","-209.5","-982.0","-310.2","","-308.0","-772.5","","-368.8"
"Monetary Authorities (c)","526.8","-387.3","-369.2","","-41.2","-914.0","","-173.5"
"Commercial Banks","-736.2","-594.7","59.0","","7.4","141.5","","19.2"
"Net Domestic Assets","9,615.2","11,629.3","2,091.8","","27.8","2,014.1","","20.9"
"Domestic Credit","11,721.2","14,002.0","2,310.4","","24.6","2,280.8","","19.5"
"Net Credit to the Government","4,548.1","5,832.4","1,752.1","","62.7","1,284.4","","28.2"
"Central Bank","868.9","2,094.1","505.9","","139.3","1,225.2","","141.0"
"Commercial Banks","3,679.2","3,738.3","1,246.3","","51.2","59.2","","1.6"
"Credit to Public Corporations/SOBEs","1,002.2","1,188.1","184.2","","22.5","185.9","","18.6"
"Credit to the Private Sector","6,170.9","6,981.4","374.1","","6.5","810.5","","13.1"
"Other Items (net) (b)","-2,106.0","-2,372.7","-218.7","","-11.6","-266.7","","-12.7"
"(a) Provisional","","","","","","","Source: Central Bank of Sri Lanka",""
