"","","Monetary Aggregates","","Net Foreign Assets","","","","","","","","","","","","","","","Money"
"","","","","","","","","","","Domestic Assets","","","","","","","","",""
"","","(Monetary Liabilities)","","(b)","","","","","","","","","","","","Net Other Liabilities","","","Multiplier"
"","","","","","","","Central Bank of Sri Lanka","","","","Commercial Banks","","","","","","","",""
"","","","","","","","","","","","","","","Gross","","","","Reserve",""
"End","Narrow","Broad","","","","","","Net","","","Net","","","","","","","",""
"","","","","","","","","","","","","","","Domestic","","","","Money",""
"","","","Monetary","","","","","","","","","Credit to","","","","","","",""
"of","Money","Money","","Commer-","","Claims","Deposits","Credit to","Claims","Deposits","Credit to","","Credit to","","Monetary","Commer-","","",""
"","","","Authori-","","Total","","","","","","","Public","","Assets","","","Total","(RM)
M1","M2"
"Period","Supply","Supply (M2)","","cial","","on","of","the Govt.","on","of","the Govt.","","Private","","Authori-","cial","","",""
"","","","ties","","(3)+(4)","","","","","","","Corpora-","","(8)+(11)","","","(15)+(16)","",""
"","","","","","","","","","","","","","","","","","","RM","RM"
"","(M1)","(5)+(14)-","","Banks","","Govt.","the Govt.","(e)","Govt.","the Govt.","(e)","","Sector","","ties","Banks","","",""
"","","","(d)","","","","","","","","","tions","","+(12)+(13)","","","","",""
"","(c)","(17)","","","","","","(6)-(7)","","","(9)-(10)","","","","","","","",""
"","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)","(11)","(12)","(13)","(14)","(15)","(16)","(17)","(18)",""
"2017","793,299","5,665,313","846,139","-311,276","534,863","225,377","297","225,080","1,651,443","74,816","1,576,627","342,354","4,471,965","6,616,026","473,138","1,012,438","1,485,576","939,793  0.84","6.03"
"2018","830,793","6,427,330","750,541","-202,093","548,448","473,118","301","472,817","1,763,914","120,729","1,643,185","432,854","5,135,547","7,684,403","582,368","1,223,153","1,805,521","961,096  0.86","6.69"
"2019","865,467","6,912,710","895,997","-482,405","413,593","363,476","444","363,032","2,095,409","115,722","1,979,687","481,222","5,375,077","8,199,017","581,006","1,118,894","1,699,900","932,604  0.93","7.41"
"2020","1,177,150","8,495,788","526,779","-472,573","54,206","870,322","1,430","868,892","3,323,967","120,274","3,203,694","584,274","5,748,117","10,404,976","560,832","1,402,561","1,963,393","964,440  1.22","8.81"
"2021","1,459,895","9,638,905","-387,263","-686,342","-1,073,604","2,095,481","1,387","2,094,095","3,531,443","170,103","3,361,340","972,821","6,498,862","12,927,118","701,728","1,512,881","2,214,608  1,305,809  1.12","","7.38"
"2020  January","859,032","7,001,066","925,923","-472,347","453,576","335,571","455","335,116","2,171,828","101,367","2,070,461","487,912","5,374,771","8,268,261","592,890","1,127,880","1,720,770","935,558  0.92","7.48"
"February","866,199","7,081,611","970,984","-501,496","469,488","308,676","271","308,405","2,223,635","97,894","2,125,740","491,252","5,398,198","8,323,594","595,546","1,115,925","1,711,471","963,283  0.90","7.35"
"March","964,756","7,335,948","943,529","-469,450","474,078","474,030","773","473,257","2,297,761","98,956","2,198,805","498,890","5,485,855","8,656,807","611,489","1,183,449","1,794,938","1,013,797  0.95","7.24"
"April","992,502","7,466,098","949,121","-453,361","495,760","566,314","472","565,842","2,311,794","89,887","2,221,907","521,014","5,489,959","8,798,722","693,686","1,134,699","1,828,384","1,021,589  0.97","7.31"
"May","991,778","7,523,814","817,817","-429,593","388,224","606,166","529","605,637","2,460,166","85,425","2,374,742","525,583","5,435,818","8,941,780","622,164","1,184,027","1,806,190","996,539  1.00","7.55"
