"Table 2.10","","","","",""
"","Composition of Private Consumption Expenditure at Current Market Prices (a)","","","",""
"","","As a Percentage of Total PCE (%)","","Growth (%)",""
"Category","","","","",""
"","2019 (b)","2020 (b)(c)","2021 (c)","20/19 (b)(c)","21/20 (c)"
"1.   Food and Non-alcoholic Beverages","27.9","30.9","31.3","11.6","12.4"
"2.   Alcoholic Beverages, Tobacco and Narcotics","3.4","3.2","3.4","-4.7","15.5"
"3.   Clothing and Footwear","4.5","3.7","3.9","-15.6","15.0"
"4.   Housing, Water, Electricity, Gas and Other Fuels","10.1","10.4","10.0","3.6","6.7"
"5.   Furnishings, Household Equipment and Routine Household Maintenance","1.0","1.0","1.1","-2.1","24.3"
"6.   Health","2.8","2.8","3.4","1.7","33.1"
"7.   Transport","24.1","20.2","19.3","-15.2","5.9"
"8.   Communication","0.7","0.7","0.8","0.1","20.9"
"9.   Recreation and Culture","1.6","1.7","1.7","7.6","8.4"
"10. Education","1.7","1.7","1.6","0.0","3.0"
"11. Restaurants and Hotels","3.9","2.6","2.9","-34.2","24.4"
"12. Miscellaneous Goods and Services","21.5","21.4","21.4","0.7","10.8"
"13. Direct Purchases Abroad by Residents","2.9","0.9","0.3","-68.7","-68.4"
"14. Less: Direct Purchases in Domestic Market by Non-residents","6.2","1.2","0.9","-80.1","-17.2"
"Total Private Consumption Expenditure","100.0","100.0","100.0","1.0","10.8"
"(a) Based on the GDP estimates (base year 2010)","","","","Source: Department of Census and Statistics",""
