"","","","","","Sri Lanka Rupees per unit of Foreign Currency","",""
"","Country","Currency","2017","2018","2019","2020","2021"
"1.","Australia","Dollar","119.1045","128.8661","127.2528","143.6648","145.3546"
"2.  Bangladesh","","Taka","1.8460","2.1857","2.1395","2.2021","2.3382"
"3.","Canada","Dollar","121.6077","134.0792","139.2098","146.3517","157.2338"
"4.","People’s  Republic of China","Yuan","23.4548","26.5683","26.0127","28.5858","31.4362"
"5.","Denmark","Kroner","24.5113","27.9894","27.2576","30.8309","30.5042"
"6.","European Union","Euro","182.4857","208.9928","203.6662","229.4219","226.8610"
"7.","Hong Kong","Dollar","19.5511","23.3369","23.3259","24.0458","25.7024"
"8.","India","Rupee","2.3854","2.6132","2.5467","2.5467","2.6935"
"9.","Indonesia","Rupiah","0.0113","0.0126","0.0131","0.0133","0.0140"
"10.","Japan","Yen","1.3559","1.6547","1.6717","1.8081","1.7415"
"11.","Kenya","Schilling","1.4797","1.7934","1.7913","1.7063","1.7714"
"12.","Korea","Won","0.1432","0.1644","0.1569","0.1719","0.1686"
"13.","Kuwait","Dinar","505.9239","601.3686","599.1358","612.8825","662.5473"
"14. Malaysia","","Ringgit","37.6304","44.0839","44.3822","46.3241","48.0254"
"15.","New Zealand","Dollar","108.4887","122.6435","122.2942","134.6799","136.7860"
"16.","Norway","Kroner","18.5283","21.0008","20.6236","21.8632","22.7039"
"17.","Pakistan","Rupee","1.3808","1.3063","1.1728","1.1614","1.1245"
"18.","Philippines","Peso","3.0583","3.4796","3.5846","3.8819","3.9332"
"19.","Saudi Arabia","Riyal","40.7586","48.7054","48.4189","49.7016","53.3864"
"20.","Singapore","Dollar","114.3224","133.8092","134.8484","141.0634","148.3212"
"21.","South Africa","Rand","12.3170","12.6648","12.8661","12.7436","12.5882"
"22.","Sweden","Kroner","18.5314","20.3690","19.4511","22.7487","22.1511"
"23.","Switzerland","Franc","156.1655","185.6460","187.6966","211.6231","219.2330"
"24.","Taiwan","Dollar","5.1507","5.9796","6.0565","6.6314","7.2249"
"25.","Thailand","Baht","4.6759","5.6179","6.0900","6.2344","6.0172"
"26.","United Arab Emirates","Dirham","41.6147","49.7529","49.4491","50.7489","54.5688"
"27.","United Kingdom","Pound sterling","205.5362","231.8639","238.4582","254.3540","270.5957"
"28.","United States of America","Dollar","152.8548","182.7499","181.6340","186.4082","200.4338"
"","","","","","","","Source: Central Bank of Sri Lanka"
