"","","Key Socio-Economic Indicators by Sector","","","","","","","","","",""
"","Based on Household Income and Expenditure Survey 2012/13, 2016 and 2019","","","","","","","","","","",""
"","","","2012/13","","","","2016","","","","2019",""
"Item","","","","All","","","","All","","","","All"
"","Urban","Rural","Estate","","Urban","Rural","Estate","","Urban","Rural","Estate",""
"","","","","Island","","","","Island","","","","Island"
"Household Characteristics","","","","","","","","","","","",""
"Number of Individuals per Household","4.0","3.8","4.3","3.9","4.0","3.8","4.1","3.8","3.8","3.7","4.0","3.7"
"Number of Income Receivers per Household","1.8","1.7","2.1","1.8","1.9","1.8","2.0","1.8","1.9","1.8","2.1","1.8"
"Population Distribution","","","","","","","","","","","",""
"By Gender, %","","","","","","","","","","","",""
"Male","47.4","47.0","48.0","47.1","46.9","46.8","47.1","46.8","47.5","47.0","48.5","47.2"
"Female","52.6","53.0","52.0","52.9","53.1","53.2","52.9","53.2","52.5","53.0","51.5","52.8"
"By Age Group, %","","","","","","","","","","","",""
"0 – 14 Years","24.2","26.0","31.1","25.9","23.8","25.3","30.3","25.3","21.2","23.1","24.0","22.8"
"15 – 59 Years","61.5","60.6","57.0","60.6","60.1","59.1","57.0","59.2","60.6","58.9","59.5","59.2"
"Over 59 Years","14.3","13.5","11.9","13.6","16.1","15.6","12.7","15.5","18.2","18.0","16.5","17.9"
"By Educational Attainment, %","","","","","","","","","","","",""
"No Schooling","2.2","3.5","12.2","3.7","2.4","3.1","10.1","3.3","2.1","3.0","8.3","3.1"
"Up to Grade 5","19.2","25.0","42.0","24.7","19.3","23.5","39.6","23.5","15.9","21.5","35.5","21.1"
"Grade 6 – 10","39.8","44.8","38.7","43.6","40.4","45.0","41.8","44.1","39.6","45.0","44.0","44.0"
"Passed G.C.E. (O/L)","18.2","15.5","4.9","15.5","18.4","15.1","5.4","15.3","19.2","16.7","8.6","16.7"
"Passed G.C.E. (A/L) and Above","20.5","11.1","2.2","12.4","19.4","13.2","3.0","13.8","23.1","13.8","3.6","13.2"
"Income","","","","","","","","","","","",""
"Mean Income, Rs. per Month","","","","","","","","","","","",""
"Per Household","69,880","41,478","30,220","45,878","88,692","58,137","34,804","62,237","116,670","69,517","46,865","76,414"
"Per Person","17,262","10,843","7,100","11,819","22,297","15,508","8,566","16,377","30,452","18,870","11,647","20,527"
"Median Income, Rs. per Month","","","","","","","","","","","",""
