"","(c) This includes NFA of the Central Bank as well as the Government's Crown Agent's balance reported by the Department of","","","","","","","","","","","",""
"State Accounts","","","","","","","","","","","","",""
"","resurgence  of  pandemic-related  uncertainties","","","","","","","","","","","in","to  
the 
year-on-year  growth  of  M1  moderated"
"","","","","","","","","","","","","","24.0 per cent by end 2021, compared to the notable"
"","2021,  demand  deposits  and  currency  held  by  the","","","","","","","","","","","",""
"","","","","","","","","","","","","","growth of 36.0 per cent at end 2020."
"","public (which reflects narrow money, M1) expanded","","","","","","","","","","","",""
"by Rs. 282.7 billion during the year, compared to the","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Viewed 
from 
the 
assets 
side 
of  M2b,"
"increase of Rs. 311.7 billion in 2020. Accordingly,","","","","","","","","","","","","","continuing 
the 
trend  observed  during  2020,"
"","","","","","","","","","","","","","nFa  of  the  banking  system  contracted  during"
"","","","","","","","","","","","","","2021  due 
to 
the  notable  decline 
in  nFa  of"
"","","","Figure 7.12","","","","","","","","","",""
"","Contribution to Year-on-Year Change in","","","","","","","","","","","","the  central  Bank,  despite 
the 
improvement"
"","Broad Money - M2b (Assets Side)","","","","","","","","","","","",""
"","","","","","","","","","","","","","observed 
in  nFa  of  lcBs.  NFA"
"3,000","","","","","","","","","","","","",""
"2,500","","","","","","","","","","","","","increased by Rs. 141.5 billion during 2021 over the"
"","","","","","","","","","","","","",""
"2,000","","","","","","","","","","","","","increase  of  Rs.  59.0  billion  recorded  in  2020  with"
"1,500","","","","","","","","","","","","",""
"Rs. billion
1,000","","","","","","","","","","","","","the  expansion  in  NFA  of  both  domestic  banking"
"500","","","","","","","","","","","","",""
"","","","","","","","","","","","","","units  (DBUs)  and  offshore  banking  units  (OBUs)."
"0","","","","","","","","","","","","",""
"-500","","","","","","","","","","","","","NFA of DBUs increased by Rs. 45.6 billion, mainly"
"-1,000","","","","","","","","","","","","",""
"","","","","","","","","","","","","","on account of the considerable increase in foreign"
"-1,500","","","","","","","","","","","","",""
"Dec-18
Feb-19
Apr-19
Jun-19","Aug-19","Oct-19
Dec-19
Feb-20
Apr-20","Jun-20","Aug-20","Oct-20","Dec-20","Feb-21","Apr-21","Jun-21","Aug-21","Oct-21","Dec-21","currency  placements  with  banks  abroad  despite"
"","","","","","","","","","","","","",""
"Net Foreign Assets","","","Net Credit to the Government","","","","Credit to Public Corporations/SOBEs","","","","","","the increase in foreign currency liabilities in terms"
"Credit to the Private Sector","","Other Items (net)","","","","","","","","","","",""
"","","","","","","Source: Central Bank of Sri Lanka","","","","","","",""
"","","","","","","","","","","","","","of  deposit 
liabilities  of  non-residents.  However,"
