"","","","","","","","","Year-on-Year","","","","Annual Average","","","","Contribution to Annual Average","",""
"","","","","Average Index","","","","","","","","","","","","","",""
"","Base","","","","","","","Percentage Change","","","","Percentage Change","","","","Increase (%)","",""
"Index","","","","","","","","","","","","","","","","","",""
"","Weights","","","","","","","","","","","","","","","","",""
"","","2017","2018","2019","2020","2021","Dec-18 Dec-19 Dec-20 Dec-21","","","","2018","2019","2020","2021","2018","2019","2020","2021"
"All Items","100.0","122.6","125.2","129.6","137.6","147.2","0.4","6.2","4.6","14.0","2.1","3.5","6.2","7.0","100.0","100.0","100.0","100.0"
"Commodity-wise","","","","","","","","","","","","","","","","","",""
"Food and Non Alcoholic Beverages","44.0","127.0","126.8","127.6","143.1","159.2","-4.5","8.6","7.5","21.5","-0.2","0.7","12.2","11.2","-4.7","8.2","85.8","73.2"
"Alcoholic Beverages and Tobacco","2.3","175.6","183.4","200.6","214.4","220.4","6.3","9.3","6.1","10.5","4.5","9.3","6.9","2.8","6.8","8.8","3.9","1.4"
"Clothing and Footwear","3.4","118.2","122.8","128.6","132.2","137.7","4.3","4.6","2.1","8.6","4.0","4.7","2.8","4.1","6.2","4.5","1.6","1.9"
"Housing, Water, Electricity, Gas and","","","","","","","","","","","","","","","","","",""
"","18.0","115.8","117.3","126.7","127.7","129.1","1.7","7.1","0.9","3.9","1.3","8.0","0.8","1.1","10.3","38.4","2.4","2.6"
"Other Fuels","","","","","","","","","","","","","","","","","",""
"Furnishing, Household Equipment and","","","","","","","","","","","","","","","","","",""
"","3.3","119.0","124.0","129.3","130.6","138.7","4.2","2.9","0.5","14.5","4.2","4.2","1.1","6.2","6.4","3.9","0.6","2.8"
"Routine Household Maintenance","","","","","","","","","","","","","","","","","",""
"Health","4.1","140.7","151.3","162.3","162.2","169.3","8.9","2.1","-1.0","10.0","7.6","7.3","0.0","4.3","16.6","10.1","0.0","3.0"
"Transport","9.8","103.3","112.0","116.4","119.3","127.9","10.0","2.1","5.4","6.5","8.4","4.0","2.4","7.3","32.3","9.9","3.5","8.7"
"Communication","2.3","121.2","119.7","110.3","98.9","98.9","-8.0","-11.1","0.0","0.0","-1.3","-7.9","-10.3","0.0","-1.4","-4.9","-3.3","0.0"
"Recreation and Culture","1.6","111.3","115.7","123.3","124.9","126.4","5.9","4.4","0.5","3.4","4.0","6.6","1.3","1.2","2.7","2.7","0.3","0.3"
"Education","2.8","119.8","127.0","137.1","143.7","144.6","6.1","8.6","3.1","1.7","6.0","8.0","4.8","0.6","7.8","6.4","2.3","0.3"
"Restaurants and Hotels","3.9","110.7","114.6","119.1","122.0","131.9","5.5","1.5","3.5","26.2","3.5","3.9","2.4","8.1","5.9","4.0","1.4","4.0"
"Miscellaneous Goods and Services","4.5","127.4","133.8","141.5","144.2","148.3","5.6","3.4","2.4","6.4","5.0","5.7","1.9","2.8","11.2","7.9","1.6","1.9"
