"","CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2021","","","","",""
"","Table 2.4","","","","",""
"","","","","","","Rubber  Revitalisation  (STaRR)  Project.  As  a  part"
"","Trends in Principal Agricultural Crops","","","","",""
"","","","","","","of its research and development activities, the RRI"
"","","","","Change (%)","",""
"","","","","","",""
"Category","Unit","2020","2021","2019/20","2020/21","introduced an environment friendly and economically"
"","","(a)","(b)","(a)","(b)",""
"","","","","","","viable  slow  release  fertiliser  technique  to  improve"
"1. Tea","","","","","",""
"1.1  Production (c)","kg mn","278.9","299.5","-7.1","7.4",""
"","","","","","","crop  performance  across  14  estates  under 
the"
"-  Low Grown","kg mn","169.9","183.2","-10.5","7.8",""
"-  Medium Grown","kg mn","46.7","51.0","-0.9","9.1",""
"","","","","","","Pussellawa, Agalawatta, Kelani Valley, and Kegalle"
"-  High Grown","kg mn","62.2","65.3","-1.3","5.0",""
"1.2  Total Extent","hectares '000","266","267","33.0","0.3",""
"","","","","","","plantations  and  6  smallholder  sites.  The  RRI  also"
"1.3  Extent Bearing","hectares '000","266","267","37.7","0.3",""
"","","","","","",""
"1.4  Cost of Production (d)","Rs/kg","492.48","533.13","1.8","8.3","conducted  64  on-farm  participatory  research  trials"
"1.5  Average Price","","","","","",""
"2","","","","","",""
"-  Colombo Auction","Rs/kg","633.85","619.15","15.9","-2.3","for  compost  application,  covering  a  total  extent  of"
"","","","","","",""
"-  Export (F.O.B.)","Rs/kg","866.70","920.76","5.4","6.2",""
"1.6  Replanting","hectares","812","1,123","-22.0","38.3","131.8  acres  in  the  Kalutara,  Kurunegala,  Matale,"
"1.7  New Planting","hectares","424","696","-61.6","64.2",""
"1.8  Value Added (e)","as % of GDP","0.6","0.7","","","Kegalle,  Matara,  Galle,  Colombo,  and  Ratnapura"
"2. Rubber","","","","","",""
"2.1 Production","kg mn","78.2","76.9","4.6","-1.7","districts.  Moreover, 
the  Ministry 
of  Plantation"
"- Sheet Rubber","kg mn","39.1","38.4","4.6","-1.7",""
"","","","","","","established 
an 
Inter-institutional 
Coordinating"
"- Crepe Rubber","kg mn","13.0","13.9","-10.2","7.4",""
"- Other","kg mn","26.1","24.5","14.0","-6.2",""
"","","","","","","Committee  for  Development  of  Rubber  Cultivation"
"2.2 Total Extent","hectares '000","138","139","0.2","0.6",""
"2.3 Area under Tapping (f)","hectares '000","121","113","6.1","-6.0",""
"","","","","","","and 
Industries, 
comprising 
representatives 
of"
"2.4 Cost of Production","Rs/kg","213.50","221.00","1.7","3.5",""
"","","","","","",""
"2.5 Average Price","","","","","","relevant ministries and institutions, with the intention"
"- Colombo Auction (RSS 1)","Rs/kg","351.46","460.78","21.8","31.1",""
"","","","","","",""
"- Export (F.O.B.)","Rs/kg","353.84","540.77","6.5","52.8","of devising holistic policies to develop and strengthen"
"2.6 Replanting (f)","hectares","976","1,470","-6.2","50.6",""
"","","","","","",""
"2.7 New Planting (f)","hectares","751","1,185","-31.9","57.8","the rubber industry and relevant value chains."
"2.8 Value Added (e)","as % of GDP","0.2","0.2","","",""
"3.   Coconut","","","","","",""
"3.1 Production","nuts mn","2,792","3,120","-9.5","11.7",""
"- Desiccated Coconut","nuts mn","226","298","-41.5","31.8","coconut"
"- Coconut Oil","nuts mn","48","211","-81.0","340.6",""
"- Other","nuts mn","2,516","2,607","2.9","3.6",""
"","","","","","","coconut  production  reached  a  historically"
"3.2 Total Extent","hectares '000","505","505","0.2","0.2",""
"","","","","","",""
"3.3 Cost of Production","Rs/nut","21.81","21.25","19.0","-2.6","high  level  with  total  nut  production  of  3,120"
"3.4 Average Price","","","","","",""
"","","","","","",""
"- Producer Price","Rs/nut","61.05","71.88","45.7","17.7","coconut 
million 
nuts 
in 
2021.  Accordingly,"
"- Export (F.O.B.)  (g)","Rs/nut","52.61","65.36","40.4","24.2",""
"","","","","","",""
"3.5 Replanting / Under Planting (h)","hectares","5,333","7,647","-10.1","43.4","production  recorded  a  growth  of  11.7  per  cent  in"
"3.6 New Planting (i)","hectares","8,000","1,387","16.9","-82.7",""
"3.7 Value Added (e)","as % of GDP","0.6","0.7","","","2021  compared  to  the  contraction  of  9.5  per  cent"
"(a) Revised","","Sources:","","","",""
