"","","","","","Exports","","","","","","","","","Prices (a)","","",""
"","","","","","","","","","","Price (F.O.B.)","","","","Colombo Market Prices (Rs./kg)","","",""
"","","","","","","","","","Value","","","","","","","",""
"Period","","Volume (kg ‘000)","","","","Value (Rs. million)","","","","","","","","","","","RSS No. 3"
"","","","","","","","","","(US$","All Rubber","","","RSS","Latex  Crepe","","Scrap","Singapore"
"","","","","","","","","","","","","","","","","Crepe","(US$/kg)"
"","","","","","","","","","million)","","","","","","","",""
"","","","","","","","","","","","","","","","","No.1X Br",""
"","Sheet","Crepe","Other","Total","Sheet","Crepe","Other","Total","","Rs./kg","US$/kg","No. 1","No. 2","No. 1X","No. 1","",""
"2017","2,940","9,039","5,250","17,230","931","3,430","1,559","5,920","39","343.56","2.26","336.72","329.82","351.71","347.97","269.55","2.00"
"2018","1,368","10,055","2,559","13,982","364","3,910","815","5,088","32","363.93","2.26","281.36","273.85","321.70","313.12","210.34","1.57"
"2019","2,106","8,545","2,352","13,003","594","2,908","819","4,321","24","332.29","1.86","288.51","282.78","302.32","298.38","245.06","1.64"
"2020","4,318","7,016","4,431","15,766","1,325","2,858","1,396","5,579","30","353.84","1.91","351.46","325.70","359.04","355.90","256.65","1.73"
"2021 (b)","3,333","8,264","3,893","15,490","1,293","5,474","1,610","8,377","42","540.77","2.72","460.78","446.98","626.32","621.82","411.45","2.07"
"2019  
  1st    Quarter","510","3,522","855","4,887","137","1,105","262","1,504","8","307.69","1.71","255.91","253.78","240.76","236.76","213.94","1.66"
"2nd   Quarter","639","2,150","902","3,690","178","699","285","1,162","7","314.95","1.79","285.69","279.25","291.50","286.16","249.31","1.80"
"3rd   Quarter","493","1,575","331","2,400","141","605","166","913","5","380.29","2.14","297.61","285.67","319.98","317.00","251.50","1.56"
"4th   Quarter","464","1,298","265","2,026","137","498","107","742","4","366.33","2.02","314.83","312.44","357.05","353.60","265.48","1.55"
"2020      1st    Quarter","854","2,011","854","3,719","252","797","261","1,310","7","352.20","1.93","309.24","319.00","351.39","350.79","248.33","1.60"
"2nd   Quarter","687","1,819","680","3,186","183","766","232","1,181","6","370.57","1.97","-","-","320.22","316.83","195.22","1.36"
"3rd   Quarter","1,077","1,542","1,130","3,750","299","561","337","1,197","6","319.30","1.72","323.00","281.25","328.33","326.21","256.45","1.68"
"4th   Quarter","1,700","1,644","1,768","5,111","590","735","566","1,891","10","369.94","1.99","403.18","373.50","436.19","429.76","326.61","2.27"
"2021 (b) 1st    Quarter","1,055","2,429","1,683","5,167","397","1,377","597","2,370","12","458.74","2.36","443.11","430.00","536.24","532.58","370.78","2.34"
"2nd   Quarter","444","1,597","825","2,866","179","1,042","385","1,607","8","560.62","2.82","449.50","434.17","600.94","595.03","420.06","2.19"
"3rd   Quarter","1,310","2,183","877","4,370","523","1,528","395","2,446","12","559.77","2.79","457.83","449.50","662.83","660.01","418.99","1.85"
"4th   Quarter","524","2,055","508","3,087","194","1,526","233","1,953","10","632.75","3.14","492.67","481.50","705.25","699.64","435.98","1.91"
