"","","Items Imposed during 2021","","determined by the respective input cost and other"
"","","SCL","SCL","market  conditions. 
It 
is  noteworthy 
that  gazette"
"","Item","","",""
"","","(Rs. per kg)","Effective Date",""
"","","","","notifications 
that  were 
issued 
imposing 
price"
"Imported Rice","","","",""
"","","","",""
"Samba","","65.00","11.10.2021","controls  on  several  essential  commodity 
items,"
"","","0.25","02.11.2021",""
"Nadu","","65.00","11.10.2021","namely,  white  sugar,  dhal,  chicken,  canned  fish,"
"","","0.25","02.11.2021",""
"","Kekulu White","65.00","11.10.2021","wheat  flour,  green  gram,  gram,  dried  fish,  maize,"
"","","0.25","02.11.2021",""
"","Kekulu Red","65.00","11.10.2021","and 
imported  milk  powder  were  rescinded  with"
"","","0.25","02.11.2021",""
"","","","","effect from 03 November 2021."
"Imported Potato","","15.00","12.02.2021",""
"","","50.00","27.04.2021",""
"","","","",""
"","","20.00","01.01.2022","Prices  of  items  in  the  Non-Food  category"
"Imported Big Onion","","0.25","14.01.2021",""
"","","40.00","08.09.2021","increased 
continuously  during 
2021 
at 
a"
"","","10.00","01.01.2022",""
"Dhal","","","","higher pace towards the end of the year, albeit"
"Whole","","0.25","14.01.2021",""
"","","","","generating  a 
lesser 
impact  on 
the  general"
"Split","","0.25","14.01.2021",""
"Red Onion","","50.00","18.05.2021",""
"","","","","price  level  compared  to  the  Food  category."
"Sprats","","100.00","12.02.2021",""
"","","100.00","12.02.2021",""
"Dried Fish","","","","Global  crude  oil  prices 
increased 
in  2021  as"
"","","","Source: Ministry of Finance",""
