"","","","","","1-year","","","","","Investment","Development"
"","","Deposits","","","","","","","Bank","",""
"","","","","","","","","1-year","","Bank","Authority"
"","","","","Interest","","Interest","","","","",""
"","","","6-month","","","","2-year","","","",""
"","","","","","","","","Fixed","","",""
"","","","","paid on","","paid","","","","",""
"","","","","","","","","Deposits","","",""
"","","","","Maturity","","Monthly","","","","",""
"2017","","4.00","10.75","11.00","","10.50","11.50","11.00","13.00-16.00","10.50-20.00","5.00"
"2018","","4.00","10.25","10.50","","10.00","11.00","12.00","6.75-16.25","10.50-20.00","5.00"
"2019","","4.00","8.83","9.83","","9.33","10.33","9.83","12.00-14.50","10.25-18.00","5.00-6.00"
"2020","","3.50","5.00","5.25","","5.00","6.25","5.50","7.00-10.00","8.73-12.50","6.00-9.00"
"2021","","3.50","5.25","5.50","","5.25","6.75","5.60","7.50-11.50","7.50-12.50","6.00-9.00"
"2020","January","4.00","8.83","9.83","","9.33","10.33","9.50","12.00-14.50","9.50-18.00","6.00-9.00"
"","February","4.00","8.00","8.75","","8.25","9.00","9.50","12.00-14.50","9.50-18.00","6.00-9.00"
"","March","4.00","7.75","8.50","","8.00","8.75","9.50","12.00-14.50","9.50-18.00","6.00-9.00"
"","April","4.00","8.00","8.75","","8.25","9.00","9.50","12.00-14.50","9.50-18.00","6.00-9.00"
"","May","4.00","8.00","8.75","","8.25","9.00","9.00","12.00-14.50","9.50-18.00","6.00-9.00"
"","June","4.00","7.00","7.25","","7.00","7.50","8.50","12.00-14.50","4.00-18.00","6.00-9.00"
"","July","4.00","5.50","5.75","","5.25","6.50","6.75","8.00-10.00","4.00-18.00","6.00-9.00"
"","August","3.50","5.50","5.75","","5.25","6.50","6.75","7.00-10.00","4.00-12.50","6.00-9.00"
"","September","3.50","5.25","5.50","","5.00","6.50","6.25","7.00-10.00","8.50-12.50","6.00-9.00"
"","October","3.50","5.25","5.50","","5.00","6.50","5.75","7.00-10.00","8.73-12.50","6.00-9.00"
"","November","3.50","5.00","5.25","","5.00","6.25","5.75","7.00-10.00","8.73-12.50","6.00-9.00"
"","December","3.50","5.00","5.25","","5.00","6.25","5.50","7.00-10.00","8.73-12.50","6.00-9.00"
"2021","January","3.50","5.00","5.25","","5.00","6.25","5.50","6.25-10.00","8.37-12.50","6.00-9.00"
"","February","3.50","4.75","5.00","","4.75","6.00","5.50","6.25-10.00","7.00-12.50","6.00-9.00"
"","March","3.50","4.75","5.00","","4.75","6.00","5.25","6.25-10.00","7.00-12.50","6.00-9.00"
"","April","3.50","4.75","5.00","","4.75","6.25","5.25","6.25-10.00","7.00-12.50","6.00-9.00"
"","May","3.50","4.75","5.00","","4.75","6.25","5.25","6.25-10.00","7.00-12.50","6.00-9.00"
"","June","3.50","4.75","5.00","","4.75","6.25","5.25","6.25-10.00","7.00-12.50","6.00-9.00"
"","July","3.50","4.75","5.00","","4.75","6.25","5.25","6.25-10.00","7.00-12.50","6.00-9.00"
"","August","3.50","4.75","5.00","","4.75","6.25","5.25","6.25-10.00","7.50-12.50","6.00-9.00"
"","September","3.50","5.25","5.50","","5.25","6.75","5.25","7.50-11.50","7.50-12.50","6.00-9.00"
"","October","3.50","5.25","5.50","","5.25","6.75","5.60","7.50-11.50","7.50-12.50","6.00-9.00"
"","November","3.50","5.25","5.50","","5.25","6.75","5.60","7.50-11.50","7.50-12.50","6.00-9.00"
"","December","3.50","5.25","5.50","","5.25","6.75","5.60","7.50-11.50","7.50-12.50","6.00-9.00"
"","","","","","","","","","","Sources: Respective Licensed Specialised Banks",""
