"","","","","","","","","","","","","","","","","","","Growth Rate (%)",""
"","The  Sri  Lanka  Railways  (SLR)  continued  to","","","","","","","","","","","","","","Item","2020 (a) 2021 (b)","","",""
"","","","","","","","","","","","","","","","","","","2020 (a) 2021 (b)",""
"","record weak financial performance in 2021. As","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","1.Sri Lanka Transport Board","","","",""
"","","","","","","","","","","","","","","","Operated Kilometres (million)","309","248","-28.4","-19.7"
"","per  the  provisional  financial  statements,  the  SLR","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Passenger Kilometres (million)","8,623","6,175","-39.9","-28.4"
"1 Data relating to operations of Sri Lanka Railways were not made available at the time","","","","","","","","","","","","","","","Total Revenue (Rs. million)","31,233","26,948","-28.2","-13.7"
"","of publication.","","","","","","","","","","","","","","Operating Expenditure (Rs. million)","33,437","30,386","-20.3","-9.1"
"","","","","","","Figure 3.8","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Operating Profit (+) /Loss (-) (Rs. million)","-2,204","-3,438","-241.6","56.0"
"","","","New Registration of Motor Vehicles","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","2.Sri Lanka Railways","","","",""
"50","","","","","","","","","","","","","","","Operated Kilometres (‘000)","7,990","n.a.","-28.9","-"
"45","","","","","","","","","","","","","","","Passenger Kilometres (million)","3,906","n.a.","-46.6","-"
"40","","","","","","","","","","","","","","","Freight Ton Kilometres (million)","114","n.a.","-1.1","-"
"","","","","","","","","","","","","","","","Total Revenue (Rs. million)","4,567","2,679","-42.2","-41.3"
"35","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Operating Expenditure (Rs. million)","14,618","12,979","-5.5","-11.2"
"30","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Operating Profit (+) /Loss (-) (Rs. million)","-10,051","-10,300","32.9","2.5"
"25","","","","","","","","","","","","","","","","","","",""
"Number ('000)
20","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","3.SriLankan Airlines","","","",""
"15","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Hours Flown","41,585","50,287","-61.1","20.9"
"10","","","","","","","","","","","","","","","Passenger Kilometres Flown (million)","3,641","2,868","-76.5","-21.2"
"","","","","","","","","","","","","","","","Passenger Load Factor (%)","56","36","-32.6","-36.0"
"05","","","","","","","","","","","","","","","Weight Load Factor (%)","62","74","-16.8","19.6"
"Jan-17","Apr-17","Jul-17
Oct-17","Jan-18","Apr-18","Jul-18
Oct-18","Jan-19","Apr-19","Jul-19","Oct-19
Jan-20","Apr-20","Jul-20
Oct-20","Jan-21","Apr-21","Jul-21
Oct-21","Freight (mt ‘000)","56","93","-54.3","66.0"
"","","","","","","","","","","","","","","","Employment (No.)","6,489","5,732","-3.3","-11.7"
"","","Motor Cycles","","","","","Three Wheelers","","","","","Motor Cars","","","","","","",""
"","","","","","","","","","","","","","","","(a) Revised","Sources: Sri Lanka Railways","","",""
