"OSU","One Stop Unit","PTL","Perpetual Treasuries Limited"
"PABC","Pan Asia Banking Corporation PLC","PUCSL","Public Utilities Commission of Sri Lanka"
"PADSL","Petroleum Development Authority of Sri Lanka","PVC","Poly Vinyl Chloride"
"PAEH","Port Access Elevated Highway","QAAA","Quality Assurance and Accreditation Authority"
"PAL","Ports and Airports Development Levy","QAC","Quality Assurance Council"
"PAMP","Poverty Alleviation Microfinance Project","QE","Quantitative Easing"
"PAMPII-RF","Poverty Alleviation Microfinance Project - II -","QEDS","Quarterly External Debt Statistics"
"","Revolving Fund","QLFS","Quarterly Labour Force Survey"
"PAYE","Pay-As-You-Earn","QoS","Quality of Service"
"PB","Petabyte","QPC","Quantitative Performance Criteria"
"PBB","Performance Based Budgeting","QPM","Quarterly Projection Model"
"PBOC","People’s Bank of China","QR","Quick Response"
"PBV","Price to Book Value","R & D","Research and Development"
"PCs","Provincial Councils","RAs","Regulatory Authorities"
"PCC","Pure Ceylon Cinnamon","RAMIS","Revenue Administration Management Information"
"PCE","Private Consumption Expenditure","","System"
"PCG","Partial Credit Guarantee Scheme","RAMP","Reserve Advisory and Management Programme"
"PCR","Polymerase Chain Reaction","RBC","Risk Based Capital"
"PCS","Port Communication System","RBI","Reserve Bank of India"
"PD","Primary Dealer","RBM","Results Based Monitoring"
"PDs","Primary Dealer Companies","RCEP","Regional Comprehensive Economic Partnership"
"PEARL","Post-disaster Economic Activity Recovery","RDA","Road Development Authority"
"","Loan Scheme","RDD","Rubber Development Department"
"PE","Price to Earning","RDD","Regional Development Department"
"PER","Price-Earnings Ratio","RDs","Restricted Dealers"
"PFCAs","Personal Foreign Currency Accounts","RDHS","Regional Directorates of Health Services"
"PFIs","Participating Financial Institutions","RDT","Reserve Data Template"
"PFM","Public Financial Management","REAEP","Resumption of Economic Activities in the Eastern"
"PGDP","Provincial Gross Domestic Product","","Province"
"PHCR","Poverty Headcount Ratio","REER","Real Effective Exchange Rate"
"PHSRC","Private Health Services Regulatory Council","REIT","Real Estate Investment Trust"
"PIESIP","Productivity Enhancement and Irrigation System","repos","repurchase transactions"
"","Efficiency Improvement Project","RFC","Resident Foreign Currency (Accounts)"
"PIs","Participating Institutions","RFP","Request for Proposal"
"PLC","Public Limited Company","RGD","Registrar General’s Department"
"PMB","Paddy Marketing Board","RegTech","Technology in Regulation"
"PMI","Purchasing Managers’ Index","RHS","Right Hand Side"
"PMI","Private Medical Institutions","RIDEP","Rural Infrastructure Development Project in"
"PMS","Pension Management System","","Emerging Regions"
"PMU","Project Management Unit","RIs","Reporting Institutions"
"POC","Proof of Concept","RMPS","Risk Management Policy Statement"
"POS","Point of Sale","RMU","Risk Management Unit"
"PPE","Personal Protective Equipment","RNNFC","Resident Non National Foreign Currency Deposits"
"PPI","Producer’s Price Index","ROA","Return on Assets"
"PPP","Public Private Partnership","ROE","Return on Equity"
"PPP","Purchasing Power Parity","RPC","Regional Plantation Companies"
"PRDC","Petroleum Resources Development Committee","RR","Revenue Rule"
"PRDP","Provincial Road Development Project","RRDI","Rice Research and Development Institute"
"PRDS","Petroleum Resources Development Secretariat","RRI","Rubber Research Institute"
"PRI","Palmyrah Research Institute","RSPGLoC","Rooftop Solar Power Generation Line of Credit"
"PSDGs","Province Specific Development Grants","RSS","Ribbed Smoked Sheet"
"PSDPs","Province Specific Development Projects","RSSO","Registered Stock and Securities Ordinance No. 7"
"PSFTA","Pakistan - Sri Lanka Free Trade Agreement","","of 1937"
"PSPF","Public Service Provident Fund","RTGS","Real Time Gross Settlement"
"PTAs","Preferential Trade Agreements","RWCAR","Risk Weighted Capital Adequacy Ratio"
