"","Category","2017","2018","2019","2020 (a) 2021 (b)",""
"1.  Capital Adequacy (%)","","","","","",""
"1.1","Capital Adequacy Ratio (CAR)(Regulatory Capital to Risk Weighted  Assets)","16.3","17.1","16.2","16.8","14.6"
"1.2","Core Capital Ratio (Tier 1)(Core Capital to Risk Weighted Assets)","13.4","15.0","12.9","13.7","12.0"
"1.3","Core Capital to Total Assets","4.3","5.0","4.2","4.5","3.8"
"1.4","Net Non-Performing Loans (net of Interest in Suspense and Specific Provisions) to Total Capital","29.3","28.7","33.0","36.8","27.6"
"","Funds","","","","",""
"1.5","Borrowings to Capital Funds","360.1","214.7","162.6","101.6","93.6"
"1.6","Capital to Assets Ratio","5.4","6.3","5.6","5.6","6.4"
"1.7","Leverage Ratio","","","6.2","6.6","6.4"
"2.  Assets Quality (%)","","","","","",""
"2.1","Gross Non-Performing Loans (NPL) to Total Gross Loans and Advances (excluding Interest in","4.3","4.8","5.5","6.9","6.5"
"","Suspense)","","","","",""
"2.2","Gross Non-Performing Loans (NPL) to Total Gross Loans and Advances (with Interest in Suspense)","4.9","5.4","6.4","8.1","7.8"
"2.3","Net Non-Performing Loans to Total Net Loans and Advances (Net of IIS and Specific Provisions)","3.4","3.6","3.9","4.9","4.1"
"2.4","Total Provisions Made against Gross Loans and Advances","1.3","1.6","2.1","2.5","2.8"
"2.5","Total Provision Coverage Ratio","31.1","32.9","38.6","36.7","43.8"
"2.6","Specific Provision Coverage Ratio","21.4","24.3","31.3","30.9","37.5"
"2.7","Total Provisions Made against Total Assets","0.6","0.8","1.0","1.1","1.2"
"2.8","Total Loans and Advances (Gross) to Total Assets","46.8","50.1","48.1","43.6","44.0"
"2.9","Total Investments to Total Assets","41.6","38.1","39.7","45.7","46.3"
"2.10 Total Income to Total Assets","","11.4","11.8","11.3","9.9","9.0"
"2.11 Net Interest Income to Total Assets","","3.0","3.2","3.3","3.1","3.9"
"2.12 Non Interest Income to Total Assets","","0.7","0.5","0.3","0.4","0.2"
"3.  Earnings and Profitability (%)","","","","","",""
"3.1","Return on Equity (ROE) - After Tax","19.2","7.7","6.8","16.6","21.5"
"3.2","Return on Assets (ROA) - Before Tax","1.5","0.8","0.8","1.3","1.7"
"3.3","Return on Assets (ROA) - After Tax","1.0","0.5","0.4","0.9","1.3"
"3.4","Interest Income to Total Income","94.2","96.1","97.1","96.3","97.4"
"3.5","Net Interest Income to Total Income","26.5","27.1","29.0","31.7","43.7"
"3.6","Non Interest Income to Total Income","5.8","3.9","2.9","3.7","2.6"
"3.7","Non Interest Expenses (Operating Expenses) to Total Income","15.6","18.9","17.5","17.3","20.5"
"3.8","Personal Expenses to Non Interest Expenses","61.5","60.9","62.9","64.0","65.5"
"3.9","Personal Expenses to Total Income","9.6","11.5","11.0","11.1","13.4"
"3.10 Provisions to Total Income","","0.9","1.6","2.9","2.2","2.9"
"3.11 Efficiency Ratio","","49.3","63.8","60.1","52.1","47.3"
"","3.12 Interest Margin (Net interest income to Average Assets)","3.2","3.2","3.4","3.4","4.1"
"4.  Liquidity (%)","","","","","",""
"4.1","Total Liquid Assets to Total Assets","42.6","35.1","41.5","49.6","43.6"
"4.2","Statutory Liquid Assets Ratio - DBU","61.6","47.7","53.1","60.4","52.8"
"4.3","Statutory Liquid Assets Ratio - OBU","-","-","-","-","-"
"4.4","Rupee Liquidity Coverage Ratio","355.1","239.3","272.3","300.4","235.3"
"4.5","All Currency Liquidity Coverage Ratio","356.2","308.4","272.3","298.6","235.3"
"4.6","Liquid Assets to Deposits","59.7","46.0","51.2","58.6","52.0"
"4.7","Current & Savings Deposits to Total Deposits","26.0","24.1","22.6","23.5","23.7"
"4.8","Liquid Assets to Short Term Liabilities","51.9","42.7","50.4","59.9","52.4"
"4.9","Deposit to Total Loans & Advances","152.3","152.2","168.1","193.8","190.5"
"4.10 Net Stable Funding Ratio","","","","157.8","158.6","151.2"
"5.  Assets / Funding Structure","","","","","",""
"5.1","Deposits (% of Total Assets)","71.3","76.3","80.9","84.6","83.8"
"5.2","Borrowings (% of Total Assets)","19.4","13.5","9.0","5.7","6.0"
"5.3","Capital Funds (% of Total Assets)","5.4","6.3","5.6","5.6","6.4"
"5.4","Other (% of Total Assets)","3.9","3.9","4.5","4.1","3.7"
"5.5","Credit to Deposits","65.6","65.7","59.5","51.6","52.5"
"5.6","Credit to Deposits and Borrowings","51.6","55.8","53.5","48.3","49.0"
"5.7","Credit to Deposits, Borrowings and Capital","48.7","52.1","50.4","45.5","45.7"
"6.  Financial Infrastructure","","","","","",""
"6.1","No. of Branches (excluding Student Savings Units)","694","699","700","704","705"
"6.2","No. of ATMs","330","367","401","432","451"
"(a) Revised","","","","","",""
