"","","","","","Monetary Aggregates - M1 and M2","","","","","","",""
"","","","","","","","","","","","","Rs. million"
"","","","Currency","","","","Demand Deposits","","","Narrow","Time and","Broad"
"","","","","","","","","","","Money","Savings","Money Supply"
"","","Held by","Held by","Held by","Total","Held by","Held by","Held by","Total","","",""
"","","","","","","","","","","Supply","Deposits","(M2)"
"","End of Period","the Govt.","Banks","the Public","(1)+(2)+(3)","the Govt.","Banks","the Public","(d)","","",""
"","","","","","","","","","","(M1)","held by","(e)"
"","","(a)","","","","(b)","(c)","","(5)+(6)+(7)","","",""
"","","","","","","","","","","(3)+(7)","the Public","(9)+(10)"
"","","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)","(11)"
"2017","","0","158,658","439,396","598,054","47,140","690,336","353,903","1,091,379","793,299","4,872,014","5,665,313"
"2018","","0","167,876","473,066","640,943","45,597","808,482","357,727","1,211,806","830,793","5,596,536","6,427,330"
"2019","","0","183,759","494,208","677,967","44,320","720,915","371,259","1,136,494","865,467","6,047,243","6,912,710"
"2020","","0","193,798","641,010","834,808","52,075","623,850","536,140","1,212,066","1,177,150","7,318,638","8,495,788"
"2021","","0","220,649","784,450","1,005,099","49,093","1,128,852","675,446","1,853,391","1,459,895","8,179,010","9,638,905"
"2020","January","0","176,330","491,712","668,042","38,365","680,356","367,320","1,086,042","859,032","6,142,034","7,001,066"
"","February","0","178,978","504,759","683,737","33,855","727,218","361,440","1,122,512","866,199","6,215,412","7,081,611"
"","March","0","237,220","567,970","805,190","36,717","658,761","396,786","1,092,264","964,756","6,371,192","7,335,948"
"","April","0","223,201","597,968","821,170","35,034","611,836","394,534","1,041,404","992,502","6,473,595","7,466,098"
"","May","0","202,825","598,359","801,184","33,318","554,866","393,419","981,603","991,778","6,532,036","7,523,814"
"","June","0","189,451","579,490","768,941","33,743","488,975","422,361","945,078","1,001,851","6,602,276","7,604,127"
"","July","0","176,000","592,385","768,385","32,922","611,573","432,204","1,076,700","1,024,589","6,693,183","7,717,772"
"","August","0","171,997","595,993","767,991","40,668","647,323","462,468","1,150,459","1,058,461","6,799,975","7,858,436"
"","September","0","177,383","597,951","775,334","35,697","566,002","459,413","1,061,112","1,057,364","6,969,706","8,027,070"
"","October","0","195,915","614,831","810,746","38,356","591,316","470,903","1,100,575","1,085,734","7,080,727","8,166,461"
"","November","0","196,860","618,037","814,897","38,994","577,562","476,944","1,093,501","1,094,981","7,169,633","8,264,614"
"","December","0","193,798","641,010","834,808","52,075","623,850","536,140","1,212,066","1,177,150","7,318,638","8,495,788"
"2021","January","0","198,822","645,946","844,768","31,140","613,240","537,188","1,181,567","1,183,134","7,416,885","8,600,019"
"","February","0","193,725","659,059","852,784","31,462","573,876","540,885","1,146,223","1,199,944","7,506,254","8,706,198"
"","March","0","227,777","672,841","900,618","32,068","545,512","559,973","1,137,553","1,232,814","7,627,770","8,860,584"
"","April","0","226,904","684,179","911,082","28,962","623,122","560,021","1,212,105","1,244,200","7,700,445","8,944,644"
"","May","0","228,304","692,032","920,335","28,982","521,074","554,519","1,104,575","1,246,551","7,770,221","9,016,772"
"","June","0","238,214","711,870","950,083","31,142","572,863","581,460","1,185,465","1,293,330","7,842,890","9,136,220"
"","July","0","219,879","722,925","942,804","32,582","630,181","594,034","1,256,797","1,316,960","7,952,622","9,269,581"
"","August","0","216,956","750,196","967,151","30,488","741,987","605,001","1,377,476","1,355,196","8,057,204","9,412,401"
"","September","0","234,369","762,011","996,380","33,303","757,546","556,737","1,347,586","1,318,748","8,130,239","9,448,987"
"","October","0","233,340","754,233","987,573","39,093","809,623","618,438","1,467,154","1,372,671","8,163,279","9,535,950"
"","November","0","234,388","735,007","969,394","38,221","778,370","620,110","1,436,701","1,355,117","8,155,538","9,510,655"
"","December","0","220,649","784,450","1,005,099","49,093","1,128,852","675,446","1,853,391","1,459,895","8,179,010","9,638,905"
"(a) Currency held by the Treasury and the District Secretariats","","","","","","","","","","","","Source: Central Bank of Sri Lanka"
