"CENTRAL BANK OF SRI LANKA | ANNUAL REPORT 2021","",""
"","Commodity Export Subsidy Scheme (CESS)",""
"12 January 2021","-","CESS was exempted for the export of scrap/waste by an enterprise, generated through"
"","","the process of manufacture of goods to be exported, out of raw material imported"
"","","and  generated  through  the  process  of  repair/maintenance  works  done  by  that"
"","","enterprise, which has entered into an agreement with the BOI and registered under"
"","","the Customs Manufacture-in-Bond Scheme or under the Temporary Importation for"
"","","Export Processing (TIEP) Scheme (Extraordinary Gazette Notification No. 2210/09)."
"15 March 2021","-","CESS on the importation of tiles and sanitary ware was revised (Extraordinary Gazette"
"","","Notification No. 2219/15)."
"17 March 2021","-","CESS was exempted for any goods imported by any enterprise and for a Strategic"
"","","Development Project, which invests US dollars 50 million or above in each stage on a"
"","","project on or after 06 March 2019, during the project implementation or construction"
"","","period  of  the  said  project  but  prior  to  commencement  of  commercial  operations"
"","","(Extraordinary Gazette Notification No. 2219/36)."
"11 January 2022","-","Existing CESS duty rates were extended according to the new HS Codes created for rice,"
"","","fisheries products and accessories related to liquefied petroleum gas (Extraordinary"
"","","Gazette Notification No. 2262/20)."
