"","","","","","","","","Rs. million","","","","","","","US$ million"
"","","","Industrial Exports","","","","","","Agricultural  Exports","","","","","",""
"","","","","","","","","","","","","Mineral","Unclassified","Total","Total"
"Period","","","Gems,","","","","","","","Minor","","","","",""
"","Textiles and","Rubber","","Petroleum","","","","Coconut","","","","Exports","Exports","Exports","Exports"
"","","","Diamonds","","Other","Tea","Rubber","","Spices","Agricultural","Other","","","",""
"","Garments","Products","","Products","","","","Products","","","","","","",""
"","","","and Jewellery","","","","","","","Products","","","","",""
"2017","767,254","127,426","39,258","66,280","302,357","233,338","5,920","53,037","61,994","21,147","46,594","5,263","2,570","1,732,440","11,360"
"2018","865,975","142,298","44,963","101,467","351,498","231,750","5,088","50,465","58,701","19,137","53,724","5,570","2,898","1,933,533","11,890"
"2019","1,000,713","154,854","54,677","93,194","382,004","240,637","4,321","58,852","55,931","21,494","58,845","6,063","3,212","2,134,796","11,940"
"2020","817,593","145,501","33,483","68,849","353,168","230,170","5,579","63,974","61,823","24,920","46,604","4,657","2,607","1,858,927","10,047"
"2021 (a)","1,081,158","208,975","55,003","100,975","484,403","263,353","8,377","84,674","90,454","29,646","66,579","8,841","4,504","2,486,943","12,499"
"2019  
  1st    Quarter","264,948","41,887","14,968","22,281","104,269","62,402","1,504","15,776","14,494","4,886","17,338","1,626","905","567,284","3,156"
"2nd   Quarter","226,596","36,832","11,899","20,740","97,268","59,440","1,162","15,026","11,088","4,411","14,019","1,350","660","500,491","2,843"
"3rd    Quarter","254,001","39,207","13,113","22,437","89,855","60,670","913","15,191","16,267","4,949","13,193","1,416","692","531,903","2,985"
"4th    Quarter","255,167","36,928","14,697","27,736","90,613","58,125","742","12,859","14,081","7,248","14,295","1,671","955","535,119","2,956"
"2020  
   1st    Quarter","228,856","35,793","9,936","32,372","82,235","49,236","1,310","12,852","9,310","7,219","12,436","891","761","483,205","2,650"
"2nd   Quarter","129,012","26,218","3,391","7,901","62,822","56,849","1,181","14,357","11,801","5,844","10,187","911","522","330,996","1,763"
"3rd    Quarter","248,804","42,834","9,296","14,319","115,125","64,465","1,197","20,474","22,092","7,479","13,906","1,150","685","561,826","3,032"
"4th    Quarter","210,921","40,656","10,860","14,257","92,986","59,620","1,891","16,291","18,620","4,378","10,075","1,705","639","482,899","2,602"
"2021 (a) 1st    Quarter","258,643","49,737","13,731","16,618","107,883","65,622","2,370","18,721","22,044","6,199","13,895","2,288","828","578,579","2,982"
"2nd   Quarter","229,603","48,455","12,203","22,054","106,665","62,208","1,607","19,898","16,536","5,668","12,566","2,603","649","540,716","2,717"
"3rd    Quarter","282,321","54,802","13,529","30,519","119,917","67,469","2,446","23,385","24,652","8,848","19,296","1,791","1,487","650,462","3,239"
"4th    Quarter","310,592","55,981","15,539","31,784","149,938","68,055","1,953","22,670","27,223","8,931","20,822","2,159","1,539","717,186","3,560"
"2020       January","85,992","12,731","4,484","15,020","29,174","18,092","491","4,454","3,534","2,602","5,067","368","281","182,290","1,005"
"February","84,996","12,986","3,891","10,501","31,082","19,573","568","4,751","3,387","2,666","4,477","333","267","179,478","989"
"March","57,868","10,076","1,561","6,851","21,979","11,570","251","3,647","2,389","1,951","2,892","190","213","121,438","656"
"April","12,593","4,672","26","2,804","10,947","15,133","304","2,758","2,325","953","1,760","187","49","54,510","282"
"May","41,355","9,277","1,287","1,992","21,417","20,344","340","5,233","3,620","1,911","2,934","422","86","110,218","587"
"June","75,064","12,269","2,079","3,105","30,458","21,372","537","6,366","5,856","2,981","5,493","302","387","166,268","894"
"July","87,192","15,274","3,284","4,959","41,567","24,333","538","7,583","7,608","3,250","5,223","541","299","201,650","1,085"
"August","81,361","13,130","2,260","4,061","33,975","19,039","277","6,273","7,345","2,231","4,744","299","141","175,137","947"
"September","80,252","14,430","3,753","5,299","39,584","21,092","382","6,619","7,139","1,998","3,938","309","245","185,039","1,000"
"October","66,069","14,369","2,995","4,492","29,953","20,697","441","5,995","6,192","1,608","4,056","404","289","157,561","854"
"November","60,285","12,265","4,363","3,930","29,545","17,777","589","5,285","6,239","1,398","2,542","432","162","144,810","784"
"December","84,568","14,022","3,501","5,835","33,488","21,146","861","5,011","6,189","1,372","3,477","869","189","180,528","964"
"2021 (a)  January","80,576","15,283","4,456","6,553","32,626","19,237","749","4,602","8,009","1,537","3,955","661","183","178,426","937"
"February","86,035","15,711","3,816","4,400","33,707","21,839","529","5,998","6,428","1,792","3,495","707","243","184,698","952"
"March","92,032","18,743","5,459","5,666","41,550","24,545","1,092","8,122","7,607","2,871","6,445","920","402","215,454","1,094"
"April","72,251","12,152","4,777","7,163","31,399","15,647","629","5,395","4,417","1,918","4,695","827","258","161,528","818"
"May","74,330","17,750","3,192","6,638","35,196","21,801","450","6,796","5,020","1,975","3,729","892","204","177,970","892"
"June","83,022","18,553","4,235","8,253","40,071","24,760","528","7,707","7,099","1,775","4,142","885","188","201,218","1,007"
"July","90,813","18,675","4,913","10,389","41,016","23,022","650","8,121","9,169","3,021","9,426","542","1,004","220,762","1,104"
"August","98,900","17,764","4,478","9,276","41,494","23,416","749","8,034","7,954","3,143","4,709","628","208","220,754","1,101"
"September","92,608","18,362","4,138","10,853","37,408","21,031","1,047","7,229","7,529","2,684","5,161","621","275","208,946","1,034"
"October","102,670","17,835","5,253","9,595","55,036","22,026","642","8,113","9,019","3,014","5,769","439","356","239,767","1,192"
"November","100,541","19,964","5,607","11,923","50,786","23,748","663","8,236","9,411","3,419","8,810","704","734","244,545","1,211"
"December","107,381","18,182","4,680","10,266","44,116","22,281","648","6,321","8,793","2,498","6,243","1,017","449","232,875","1,156"
"(a) Provisional","","","","","","","","","","","Sources:  Ceylon Petroleum Corporation and Other Exporters of Petroleum","","","",""
