"","","","","","","","Workers’ Remittances","","","","","","","","",""
"","","","","US$ million","","","","","Rs. million","","","","","Percentage Share","",""
"","Origin","","","","","","","","","","","","","","",""
"","","2017","2018","2019","2020","2021 (a)","2017","2018","2019","2020","2021 (a)","2017","2018","2019","2020","2021 (a)"
"1. Middle East","","3,711","3,592","3,459","3,673","2,834","565,642","582,719","618,394","680,892","560,989","51.8","51.2","51.5","51.7","51.6"
"2.","European Union","1,311","1,312","1,263","1,350","1,032","199,831","212,829","225,744","250,231","204,391","18.3","18.7","18.8","19.0","18.8"
"3.","Far East Asia","824","849","826","870","686","125,577","137,713","147,694","161,333","135,898","11.5","12.1","12.3","12.3","12.5"
"4.","Europe - Other","330","309","282","305","231","50,231","50,077","50,432","56,631","45,662","4.6","4.4","4.2","4.3","4.2"
"5.","North America","208","182","161","178","126","31,667","29,591","28,818","32,925","25,005","2.9","2.6","2.4","2.5","2.3"
"6.","South East Asia","394","407","376","408","324","60,058","66,011","67,243","75,728","64,144","5.5","5.8","5.6","5.8","5.9"
"7.","Australia and New Zealand","172","154","175","178","143","26,207","25,039","31,220","32,925","28,267","2.4","2.2","2.6","2.5","2.6"
"8.","South Asia","107","154","134","114","93","16,380","25,039","24,015","21,072","18,482","1.5","2.2","2.0","1.6","1.7"
"9.","South and Central America","50","35","27","21","16","7,644","5,691","4,803","3,951","3,262","0.7","0.5","0.4","0.3","0.3"
"10. Other","","57","21","13","7","5","8,736","3,414","2,402","1,317","1,087","0.8","0.3","0.2","0.1","0.1"
"","Total","7,164","7,015","6,717","7,104","5,491","1,091,972","1,138,124","1,200,766 1,317,007 1,087,188","","","100.0","100.0","100.0","100.0","100.0"
