"","","","","","","","","","","","Commodities","",""
"","","","","","","","","Manufactured","","","","",""
"","","","","Crude","Mineral Fuels,","","Chemicals","","Machinery","","and","",""
"","","","","","","Animal and","","Goods","","Miscellaneous","","","Total Exports"
"","Period","Food and","Beverages","Materials,","Lubricants","","and Related","","and","","Transactions","Total",""
"","","","","","","","","","","","","","(Rs. million)"
"","","","","","","Vegetable Oils,","","Classified","","Manufactured","","",""
"","","Live Animals","and Tobacco","Inedible,","and Related","","Products,","","Transport","","Not Classified","Exports",""
"","","","","","","Fats and Waxes","","Chiefly by","","Articles","","",""
"","","","","except Fuels","Materials","","n.e.s.","","Equipment","","Elsewhere in","",""
"","","","","","","","","Material","","","","",""
"","","","","","","","","","","","the SITC","",""
"2017","","2,730","141","347","434","95","197","1,418","522","5,476","1","11,360","1,732,440"
"2018","","2,633","165","348","622","89","215","1,599","541","5,677","…","11,890","1,933,533"
"2019","","2,542","162","343","521","74","223","1,628","532","5,914","…","11,940","2,134,796"
"2020","","2,409","117","369","374","97","224","1,344","396","4,719","…","10,047","1,858,927"
"2021 (b)","","2,846","145","433","506","129","292","1,701","632","5,813","2","12,499","2,486,943"
"2019","1st  Quarter","683","45","95","124","21","56","440","130","1,563","-","3,156","567,284"
"","2nd Quarter","606","39","84","118","17","56","385","176","1,362","…","2,843","500,491"
"","3rd  Quarter","630","39","84","126","17","58","409","118","1,503","-","2,985","531,903"
"","4th  Quarter","623","40","79","153","19","53","395","108","1,487","…","2,956","535,119"
"2020","1st  Quarter","536","27","82","178","16","47","334","101","1,327","-","2,650","483,205"
"","2nd Quarter","542","20","72","42","18","49","261","71","688","-","1,763","330,996"
"","3rd  Quarter","732","39","111","77","33","63","401","118","1,457","…","3,032","561,826"
"","4th  Quarter","599","30","103","77","29","64","347","107","1,247","…","2,602","482,899"
"2021 (b)","1st  Quarter","676","34","111","86","30","67","407","148","1,424","…","2,982","578,579"
"","2nd Quarter","603","31","99","111","27","72","386","141","1,247","…","2,717","540,716"
"","3rd  Quarter","741","34","113","152","36","73","437","147","1,507","…","3,239","650,462"
"","4th  Quarter","826","46","111","158","36","80","471","195","1,636","1","3,560","717,186"
"2020","January","195","11","31","83","6","18","129","37","495","-","1,005","182,290"
"","February","204","10","31","58","6","16","128","40","496","-","989","179,478"
"","March","137","7","20","37","4","14","77","24","336","-","656","121,438"
"","April","121","4","12","15","3","11","31","10","75","-","282","54,510"
"","May","185","6","26","11","6","17","82","24","230","-","587","110,218"
"","June","235","11","34","17","9","21","148","37","383","-","894","166,268"
"","July","290","12","43","27","11","22","151","39","490","…","1,085","201,650"
"","August","214","15","33","22","11","21","122","36","474","-","947","175,137"
"","September","228","12","36","29","11","20","128","43","493","…","1,000","185,039"
"","October","207","10","35","24","11","23","105","24","414","-","854","157,561"
"","November","186","7","35","21","9","20","119","37","349","-","784","144,810"
"","December","206","13","32","31","9","22","123","45","483","…","964","180,528"
"2021 (b)","January","209","10","31","34","7","22","132","47","444","…","937","178,426"
"","February","210","9","33","23","10","21","123","47","475","-","952","184,698"
"","March","257","14","47","29","13","25","152","54","504","-","1,094","215,454"
"","April","172","9","30","36","8","18","105","37","404","-","818","161,528"
"","May","204","9","33","33","8","27","131","47","398","…","892","177,970"
"","June","227","14","36","41","10","27","149","57","445","-","1,007","201,218"
"","July","275","10","38","52","13","25","146","55","490","-","1,104","220,762"
"","August","241","15","38","46","14","24","157","49","518","-","1,101","220,754"
"","September","224","9","38","54","10","24","133","44","499","…","1,034","208,946"
"","October","278","13","36","48","13","24","155","87","539","…","1,192","239,767"
"","November","303","15","39","59","12","26","161","57","540","1","1,211","244,545"
"","December","246","18","36","51","12","30","155","52","557","…","1,156","232,875"
"","(a) Data is compiled based on the latest version of SITC - Revision 4 published in 2006.","","","","","","","","","","Sources: Ceylon Petroleum Corporation and Other Exporters of Petroleum","",""
