"","","","Treasury Bills","","","","","","Treasury Bonds (d)","","","","","","","Outright","Repo","","Outright","","","Repo","","Treasury Bills","","","","Treasury Bonds","","",""
"","End of Period","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","Transactions","Transactions","","Transactions","","Transactions","","","","","","","","","",""
"","","","","","","","","","","","","","","Above","","","","Reverse","","","","Reverse","≤","≤","≤","","","","","",""
"","","91-","182-","364-","2-","3-","4-","5-","6-","7-","8-","9-","10-","","Pur-","","Repur-","","Pur-","","Repur-","","","","","≤ 2-","≤ 3-","≤ 4-","≤ 5-","≤ 10-","≤ 15-"
"","","","","","","","","","","","","","","10","","Sold","","Repur-","","Sold","","Repur-","91-","182-","364-","","","","","",""
"","","day","day","day","year","year","year","year","year","year","year","year","year","","chased","","chased","","chased","","chased","","","","","year","year","year","year","year","year"
"","","","","","","","","","","","","","","years","","","","chased","","","","chased","day","day","day","","","","","",""
"2017 (e)","","7.69","8.30","8.90","9.83","9.55","11.14","10.20","11.21","12.92","10.06","12.91","10.36","-","362,496","546,045","2,101,970","140,844","468,991","646,914","7,428,325","3,940,352","7.65","8.27","8.87","9.29","9.55","9.65","9.84","10.08","-"
"2018 (e)","","10.01","9.99","11.20","-","11.88","-","11.69","-","10.32","12.23","12.16","10.20","12.23","319,689","534,508","1,843,858","69,669","511,038","628,865","8,089,681","2,135,095","9.66","9.96","10.91","11.16","11.41","11.51","11.55","11.83","-"
"2019 (e)","","7.51","8.02","8.45","9.79","9.65","-","9.87","-","-","10.24","10.00","10.23","10.68","596,981","523,950","1,256,292","47,200","758,764","811,200","7,548,481","1,354,945","7.55","7.95","8.47","8.71","9.24","9.74","9.94","10.21","-"
"2020 (e)","","4.69","4.80","5.05","5.65","5.99","6.32","6.79","6.57","7.01","7.07","-","9.99","7.84","1,187,715","953,199","1,463,083","36,921","963,857","883,013","4,495,818","1,280,397","4.64","4.73","4.98","5.54","5.98","6.40","6.64","7.56","-"
"2021 (e)","","8.16","8.33","8.24","9.16","9.70","8.55","11.14","10.90","11.27","11.63","11.61","8.86","12.06","1,757,526","1,586,471","1,107,286","61,727","850,484","635,690","3,223,797","888,275","7.56","8.00","8.18","10.70","11.79","10.38","10.70","11.79","-"
