"","","","","","","","","Rs. million","","","","","","","US$ million"
"","Consumer Goods","","","","Intermediate Goods","","","","","Investment Goods","","","","",""
"Period","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","Unclassified","Total","Total"
"","","Non-Food","","","Textiles and","","","","Machinery","","","","","",""
"","Food and","","Crude","Refined","","Wheat and","","","","Transport","Building","","","",""
"","","","","","","","","","","","","","Imports","Imports","Imports"
"","","Consumer","","","Textile","","Fertiliser","Other","and","","","Other","","",""
"","Beverages","","Oil","Petroleum","","Maize","","","","Equipment","Materials","","","",""
"","","Goods","","","Articles","","","","Equipment","","","","","",""
"2017","280,646","405,778","107,397","375,374","415,386","54,394","15,703","775,466","399,453","102,914","242,621","1,187","22,254","3,198,572","20,980"
"2018","259,659","546,949","160,024","475,521","465,334","60,637","42,682","823,262","404,175","108,057","247,730","979","11,634","3,606,644","22,233"
"2019","255,125","452,468","173,547","483,462","520,335","61,887","39,570","754,197","445,332","106,528","269,733","1,360","1,484","3,565,028","19,937"
"2020","288,477","342,575","107,665","321,818","432,484","71,366","48,227","699,509","402,967","64,835","191,816","593","2,583","2,974,915","16,055"
"2021 (a)","330,670","434,309","123,865","564,681","610,217","83,326","31,414","1,034,405","558,819","79,412","248,519","1,163","3,418","4,104,218","20,637"
"2019      1st    Quarter","60,195","103,772","42,744","118,329","123,893","9,562","8,643","195,623","114,938","20,172","67,562","321","281","866,034","4,817"
"2nd   Quarter","62,452","95,663","44,675","127,646","124,280","15,861","7,900","167,435","104,370","28,485","61,558","255","249","840,828","4,779"
"3rd    Quarter","56,886","121,426","42,451","119,168","130,548","16,114","13,253","183,743","104,193","28,326","74,469","291","395","891,263","5,000"
"4th    Quarter","75,592","131,608","43,677","118,319","141,614","20,349","9,774","207,396","121,832","29,546","66,143","494","558","966,902","5,341"
"2020      1st    Quarter","77,898","98,387","35,575","118,469","113,377","14,712","4,719","177,645","104,335","21,191","53,690","160","1,300","821,457","4,503"
"2nd   Quarter","68,319","86,080","10,628","40,845","83,768","14,398","15,349","141,460","78,769","21,455","37,904","116","639","599,729","3,172"
"3rd    Quarter","66,997","78,413","37,020","82,169","111,134","24,720","5,933","185,247","109,595","9,275","49,943","166","315","760,928","4,108"
"4th    Quarter","75,263","79,695","24,442","80,335","124,205","17,536","22,225","195,158","110,268","12,914","50,279","152","329","792,801","4,273"
