"","","","","","","","","","","","","","Premium","Differential",""
"","","(US$ million)","","","","","(US$ million)","","","","Total Volume","","","",""
"Period","","","","","","","","","","","","(as % of spot) (a)","","(as % of spot)",""
"","","","","","","","","","","","(US$ million)","","","",""
"","","","","","Below 1","","","","Over 3","","","1 Month","3 Months","1 Month","3 Months"
"","Spot","Tom","Cash","Total","","1 Month","2 Months","3 Months","","Total","","","","",""
"","","","","","Month","","","","Months","","","(%)","(%)","(%)","(%)"
"2017","3,013.7","2,405.4","3,007.0","8,426.1","3,718.1","1,613.7","319.2","736.1","1,638.1","8,025.2","16,451.3","7.1","4.4","7.8","7.8"
"2018","5,336.5","2,106.0","3,327.8","10,770.3","1,806.7","1,917.9","614.4","572.7","1,720.1","6,631.8","17,402.1","6.1","5.8","6.2","6.2"
"2019","5,773.8","2,341.9","3,527.1","11,642.9","2,066.1","2,751.7","404.2","603.7","1,908.1","7,733.7","19,376.6","4.8","4.8","5.0","6.1"
"2020","5,725.5","1,994.9","2,724.3","10,444.6","2,553.4","2,389.2","905.5","823.7","1,291.8","7,963.6","18,408.3","1.3","1.4","4.5","5.1"
"2021 (b)","2,184.7","1,529.5","2,137.7","5,851.9","2,849.3","1,899.4","518.4","466.9","574.3","6,308.2","12,160.1","-3.4","-5.3","4.6","5.7"
"2019        1st    Quarter","1,320.5","743.3","1,194.6","3,258.4","530.5","718.8","46.9","157.3","527.4","1,980.9","5,239.2","6.2","6.4","5.5","7.0"
"2nd  Quarter","1,486.7","524.9","842.7","2,854.3","419.6","713.8","96.8","189.7","529.9","1,949.7","4,804.0","5.8","5.8","5.0","6.1"
"3rd   Quarter","1,419.5","571.3","693.5","2,684.4","618.5","773.6","117.5","131.5","485.3","2,126.3","4,810.7","3.7","3.6","4.7","5.6"
"4th   Quarter","1,547.1","502.4","796.3","2,845.8","497.5","545.6","143.1","125.3","365.5","1,677.0","4,522.8","3.5","3.6","4.9","5.6"
"2020        1st    Quarter","1,463.0","543.9","821.0","2,827.9","683.2","531.0","170.0","298.8","277.5","1,960.4","4,788.4","2.9","3.0","5.0","5.8"
"2nd  Quarter","1,218.8","419.2","439.5","2,077.4","612.6","657.0","179.1","112.3","387.3","1,948.1","4,025.6","2.3","2.2","5.1","6.0"
"3rd   Quarter","1,885.9","504.0","949.9","3,339.8","464.7","604.9","269.4","175.5","300.9","1,815.3","5,155.2","0.3","0.6","4.0","4.4"
"4th   Quarter","1,157.7","527.8","513.9","2,199.4","793.0","596.5","287.0","237.1","326.2","2,239.8","4,439.2","-0.2","0.0","3.9","4.4"
