"SSC","Senior School Certificate","UDA","Urban Development Authority"
"SSLFTA","Singapore - Sri Lanka Free Trade Agreement","UGC","University Grants Commission"
"SSNP","Social Safety Nets Project","UHT","Ultra Heat Treated"
"SSU","Student Savings Units","UID","Unique Identification"
"STaRR","Smallholder Tea and Rubber Revitalisation","UIG","University, Industry and Government"
"STDs","Sexually Transmitted Diseases","UIP","Uncovered Interest Rate Parity"
"STP","Straight - through Processing","UK","United Kingdom"
"STEM","Science, Technology, Engineering and","UKGT","United Kingdom’s Global Tariffs"
"","Mathematics","UN","United Nations"
"STEMTA","A Science, Technology, Engineering and","UNCCD","United Nations Convention to Combat"
"","Mathematics through Art","","Desertification"
"STRS","Secured Transaction Registry System","UNCTAD","United Nations Conference on Trade and"
"STRs","Suspicious Transaction Reports","","Development"
"SUVs","Sport Utility Vehicles","UNDP","United Nations Development Programme"
"SVAT","Simplified Value Added Tax","UNEP","United Nations Environment Programme"
"SWIFT","Society for Worldwide Interbank Financial","UNFCCC","United Nations Framework Convention on"
"","Telecommunications","","Climate Change"
"TAP","Trade Adjustment Programme","UNICEF","United Nations International Children’s"
"TBI","Technology Business Incubator","","Emergency Fund"
"T-bonds","Treasury bonds","UN-REDD","United Nations Programme on Reducing"
"TC","Technical Compliance","","Emissions from Deforestation and Forest"
"TCF","Trillion Cubic Feet","","Degradation"
"TDC","Tariff Determination Committee","",""
"","","UNWTO","United Nation’s World Tourism Organization"
"TDF","Technology Development Fund","",""
"","","USA/US","United States of America"
"TDP","Tea Development Programme","",""
"","","USD","United States Dollar"
"telcos","telecommunication companies","",""
"","","USDA","Urban Settlement Development Authority"
"TEUs","Twenty-foot Equivalent Units","",""
"","","UTs","Unit Trusts"
"TF","Terrorist Financing","",""
"","","UTCS","Unified Transport Card Solution"
"TFA","Trade Facilitation Agreement","",""
"","","UTMC","Unit Trust Management Company"
"TFC","The Finance Company PLC","",""
"","","VAT","Value Added Tax"
"TIFA","Trade and Investment Framework Agreement","",""
"","","VDRL","Venereal Disease Research Laboratory"
"TIN","Taxpayer Identification Number","",""
"","","VJP","Visiting Journalist Program"
"TIP","Trade Information Portal","",""
"","","VMS","Variable Message Sign"
"TKSFL","TKS Finance Ltd","",""
"","","VMS","Vessel Monitoring System"
"TL","Telecommunication Levy","",""
"","","VoA","Vote on Account"
"TLP","Tariff Liberalisation Programme","",""
"","","VRI","Veterinary Research Institute"
"TORs","Terms of References","",""
"","","VSSO","Voluntary Social Service Organisations"
"TOT","Training of Trainers","",""
"","","VTA","Vocational Training Authority"
"TPC","Trade and Productivity Commission","",""
"","","WASH","Water, Sanitation and Hygiene"
"TPP","Trans-Pacific Partnership","",""
"","","WAYRs","Weighted Average Yield Rates"
"TPR","Trade Policy Review","",""
"","","WBB","Welfare Benefits Board"
"TRCSL","Telecommunications Regulatory Commission of","",""
"","","WBTA","World Bank Technical Assistance"
"","Sri Lanka","",""
"","","WCL","Working Capital Loans"
"TRI","Tea Research Institute","",""
"","","WCLSTF","Working Capital Loan Scheme for Tea Factories"
"TSCFL","The Standard Credit Finance Ltd.","",""
"","","WCLWD","Weligama Coconut Leaf Wilt Disease"
"TSEP","Transforming the School Education System as the","",""
"","","WCO","World Customs Organization"
"","Foundation of Knowledge Hub Project","",""
"","","WCT","West Container Terminal"
"TSHDA","Tea Small Holdings Development Authority","",""
"","","WEDF","World Export Development Forum"
"TSP","Tourism Strategic Plan","",""
"","","WEDP","Women Entrepreneurship Development"
"TVEC","Tertiary and Vocational Education Commission","",""
"","","","Programme"
"TVET","Technical and Vocational Education and Training","",""
"","","WEF","With Effect From"
"TVRS","Tourist Vat Refund System","",""
"","","WEF","World Economic Forum"
"UAE","United Arab Emirates","",""
"","","WEO","World Economic Outlook"
"UAT","User Acceptance Testing","WEPA","Water Environment Partnership Association"
"UCT","Unity Container Terminal","WFP","World Food Programme"
