"","","","","","","","","","","","","","2015 = 100"
"","","","","","","","","Manufacture of","Manufacture","Manufacture","Manufacture","",""
"","","Manufacture","","Manufacture","","Manufacture","Manufacture","","","","","Manufacture","Manufacture"
"","","","Manufacture","","Manufacture","","","Coke and","of Chemicals","of Rubber","of Other Non-","",""
"Period","IIP","of Food","","of Tobacco","","of Wearing","of Paper and","","","","","of Basic","of Electrical"
"","","","of Beverages","","of Textiles","","","Refined Petroleum","and Chemical","and Plastic","metallic Mineral","",""
"","","Products","","Products","","Apparel","Paper Products","","","","","Metals","Equipment"
"","","","","","","","","Products","Products","Products","Products","",""
"2017","105.8","105.0","91.5","106.3","106.4","110.7","108.4","94.3","96.6","108.0","111.5","120.8","99.9"
"2018","106.7","106.1","99.8","92.7","110.2","115.1","86.8","97.5","92.7","112.0","108.9","128.3","81.8"
"2019","108.1","105.6","103.4","81.0","108.3","117.2","96.7","106.8","102.2","106.4","117.8","124.2","86.9"
"2020 (b)","97.1","109.1","96.5","72.1","102.2","81.2","81.8","97.2","94.2","75.8","111.7","110.7","67.5"
"2021 (c)","104.2","109.3","106.0","77.9","128.7","95.4","86.5","71.1","89.8","102.9","137.4","133.6","81.4"
"2020 (b)  1st  Quarter","98.8","107.7","97.8","63.3","78.7","91.7","78.8","87.4","83.3","86.9","118.6","129.8","77.6"
"2nd Quarter","73.9","105.9","64.0","65.1","76.1","43.8","53.7","77.5","74.3","33.1","66.6","58.9","43.3"
"3rd  Quarter","107.5","110.5","116.3","92.4","133.6","88.1","98.1","109.2","120.5","93.4","130.2","135.0","72.5"
"4th  Quarter","108.3","112.4","108.0","67.7","120.5","101.0","96.4","114.7","98.7","89.9","131.5","119.2","76.8"
"2021 (c) 1st  Quarter","108.9","109.1","121.7","80.5","130.7","114.1","111.7","51.3","91.5","104.1","134.9","144.4","98.8"
"2nd Quarter","94.9","102.8","90.0","60.2","126.1","72.4","70.5","81.8","86.5","99.7","129.1","123.6","68.6"
"3rd  Quarter","105.2","110.0","94.2","90.5","135.1","91.8","74.8","100.9","82.6","100.6","146.6","128.9","72.9"
"4th  Quarter","107.9","115.3","118.0","80.4","122.9","103.1","88.9","50.5","98.6","107.1","139.1","137.5","85.5"
"2020 (b)
January","108.1","112.8","108.4","69.1","108.1","103.4","94.4","93.5","84.6","107.5","129.3","148.4","78.3"
"February","104.2","105.4","106.2","66.8","82.0","101.2","89.0","106.7","85.9","98.7","130.2","134.5","84.6"
"March","84.1","105.0","78.8","54.1","46.1","70.6","52.9","62.0","79.3","54.4","96.3","106.4","70.0"
"April","50.0","97.1","26.3","26.2","13.1","11.4","28.5","63.0","35.4","12.6","27.9","13.8","32.6"
"May","79.2","114.4","53.6","77.5","85.6","48.4","51.5","91.7","73.8","31.6","69.3","77.4","35.1"
"June","92.5","106.2","112.0","91.5","129.5","71.5","81.1","77.9","113.8","55.3","102.5","85.4","62.2"
"July","111.3","117.8","123.9","88.8","134.1","93.8","106.2","97.7","120.1","98.5","131.9","120.8","71.2"
"August","102.3","107.0","109.9","87.7","127.0","78.2","80.0","112.2","117.5","94.2","126.9","132.4","70.6"
"September","108.8","106.6","115.2","100.6","139.6","92.1","108.1","117.6","123.8","87.4","132.0","151.7","75.6"
"October","107.8","114.6","94.4","60.1","121.0","99.1","93.5","119.2","126.8","86.9","129.5","66.7","74.2"
"November","106.9","109.5","108.7","76.2","128.2","103.5","87.3","109.2","82.4","89.4","125.8","133.1","67.5"
"December","110.3","113.0","120.9","66.9","112.4","100.6","108.5","115.8","87.1","93.5","139.1","157.7","88.6"
"2021 (c)
January","108.1","100.5","104.1","76.9","142.3","108.9","133.1","106.5","82.3","105.0","132.3","132.7","92.5"
"February","99.2","100.4","115.3","69.9","114.3","102.1","109.1","45.8","72.8","83.5","127.4","152.1","96.6"
"March","119.6","126.3","145.6","94.7","135.5","131.2","92.8","1.5","119.5","124.0","145.1","148.4","107.3"
"April","94.1","103.3","126.1","66.1","97.8","73.4","82.7","68.0","88.7","85.5","125.2","104.5","81.6"
"May","93.2","92.8","91.8","61.7","136.2","68.2","42.7","102.5","101.4","108.5","130.3","137.4","58.8"
"June","97.4","112.3","52.1","52.9","144.3","75.6","85.9","74.9","69.5","105.3","132.0","128.8","65.4"
"July","109.9","116.2","119.3","92.4","140.4","87.7","86.3","98.7","84.0","107.0","150.8","137.9","73.4"
"August","105.7","106.5","95.2","85.0","137.7","95.4","68.6","114.8","92.2","92.9","148.3","140.7","67.7"
"September","100.2","107.3","68.2","94.0","127.3","92.4","69.5","89.2","71.6","101.9","140.6","108.0","77.5"
"October","109.5","120.1","110.9","81.6","132.6","100.7","72.9","72.6","92.8","112.3","136.7","114.2","76.9"
"November","106.8","110.9","125.8","78.7","132.1","106.0","105.5","29.9","102.7","102.6","137.9","148.5","92.2"
"December","107.4","114.7","117.1","76.4","104.1","102.6","88.3","48.9","100.4","106.3","142.7","149.9","87.3"
"(a)  Indices are classified according to the International Standard Industrial Classification (ISIC) Revision 4.","","","","","","","","","","","","Source: Department of Census and Statistics",""
