"","Composition of Imports according to the SITC (a)","","","","","","",""
"","","Rs. million","","","","US$ million","",""
"Category","","","","","","","",""
"","2018","2019","2020","2021 (b)","2018","2019","2020","2021 (b)"
"0. Food and Live Animals","351,908","350,023","391,195","451,938","2,173","1,958","2,108","2,275"
"00 Live Animals other than Animals of Division 03","823","822","625","970","5","5","3","5"
"01 Meat and Meat Preparations","959","1,015","808","782","6","6","4","4"
"02 Dairy Products and Birds’ Eggs","54,232","55,747","62,011","63,174","334","312","334","318"
"03 Fish, Crustaceans, Molluscs and Aquatic Invertebrates and Preparations Thereof","32,204","38,626","35,234","24,591","199","216","190","124"
"04 Cereals and Cereal Preparations","80,738","68,137","77,077","102,316","501","381","415","513"
"05 Vegetables and Fruit","65,441","70,119","77,825","90,858","404","392","419","458"
"06 Sugars, Sugar Preparations and Honey","40,333","35,998","51,360","56,934","250","201","277","289"
"07 Coffee, Tea, Cocoa, Spices and Manufactures Thereof","26,939","28,658","29,905","33,658","166","160","161","169"
"08 Feeding Stuff for Animals","28,664","28,104","31,531","46,142","176","157","170","232"
"09 Miscellaneous Edible Products and Preparations","21,573","22,796","24,817","32,511","133","128","134","163"
"1. Beverages and Tobacco","26,217","26,307","17,376","15,275","161","147","94","77"
"11 Beverages","9,476","10,648","5,250","4,423","58","59","28","22"
"12 Tobacco and Tobacco Manufactures","16,741","15,659","12,126","10,852","103","88","65","55"
"2. Crude Materials, Inedible, except Fuels","79,211","83,245","80,849","116,300","487","466","436","585"
"21 Hides, Skins, Furskins, Raw","12","36","21","22","…","…","…","…"
"22 Oil-seeds and Oleaginous Fruits","2,807","2,836","1,459","882","17","16","8","4"
"23 Crude Rubber","36,569","35,075","33,700","69,797","225","196","182","351"
"24 Cork and Wood","11,922","9,988","7,487","10,305","74","56","40","52"
"25 Pulp and Waste Paper","541","575","737","1,430","3","3","4","7"
"26 Textile Fibres and Their Wastes","7,564","14,199","13,947","4,975","46","79","75","25"
"27 Crude Fertilisers, other than those of Division 56, and Crude Minerals","10,385","10,304","12,720","16,104","64","58","69","81"
