"event","revised time"
"OMO-Repo/Reverse Repo (Auction) Settlement","1245 hrs."
"MLNS-SLIPS (Cycle 2)/CAS (Cycle 3)","1300 hrs."
"MLNS-CEFTS (Cycle 3)","1315 hrs."
"MLNS- Adjustment Clearing and Settlement Clearing","1400 hrs."
"Cut-off time for third party transactions","1415 hrs."
"CAS (Cycle 4)","will be settled at 0845 hrs. on 16/04/2019"
"CEFTS (Cycle 4)","will be settled at 0900 hrs. on 16/04/2019"
"MLNS-SLIPS (Cycle 3)","Not Available"
"SDF settlement","1430 hrs."
"ILF Reversal and SLF settlement","1445 hrs."
"Close for business","1500 hrs."
"System shut down","1530 hrs."
