"","","","","","","","","","","","",""
"Growth
Contribution to Growth
As a Percentage of GDP
(%)
(%)
(%)
Economic Activity
2021 (c)
2022
2021 (c)
2022
2021 (c)
2022","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Agriculture, Forestry and Fishing
Growing of cereals (except rice)
Growing of rice 
Growing of vegetables
Growing of sugar cane, tobacco and other non-perennial crops 
Growing of fruits
Growing of oleaginous fruits (coconut, king coconut, oil palm)
Growing of tea (green leaves)
Growing of other beverage crops (coffee, cocoa etc.)
Growing of spices, aromatic, drug and pharmaceutical crops
Growing of rubber
Growing of other perennial crops 
Animal production
Plant propagation 
Agricultural supporting activities
Forestry and logging
Fishing 
Industries
Mining and quarrying
Manufacturing
Electricity, gas, steam and air conditioning supply
Water collection, treatment and supply
Sewerage, waste treatment and disposal activities
Construction
Services
Wholesale and retail trade, transportation and storage, and   
   accommodation and food service activities
Information and communication 
Financial, insurance and real estate activities including ownership of  
   dwellings
Professional services and other personal service activities
Public administration, defence, education, human health and social work  
   activities
Equals Gross Value Added (GVA) at Basic Price
Taxes less subsidies on products 
Equals Gross Domestic Product (GDP) at  Market Price
Net primary income from rest of the world
Gross National Income at Market Price","","","","","","","0.9 
 2.8 
 - 11.8 
 - 1.7 
 - 7.3 
 - 10.8 
 11.2 
 8.5","- 4.6 
 - 21.6 
 - 13.0 
 - 8.4 
 1.8 
 0.5 
 8.6 
 - 15.9","0.1 
 0.00 
 - 0.11 
 - 0.02 
 - 0.00 
 - 0.07 
 0.08 
 0.05","- 0.3 
 - 0.04 
 - 0.11 
 - 0.07 
 0.00 
 0.00 
 0.07 
 - 0.09","7.3 
 0.2 
 0.8 
 0.8 
 0.0 
 0.6 
 0.8 
 0.6","7.5 
 0.1 
 0.8 
 0.8 
 0.0 
 0.6 
 0.9 
 0.5"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","- 16.2","- 9.1","- 0.00","- 0.00","0.0","0.0"
"","","","","","","","","","","","",""
"","","","","","","","4.5","3.3","0.03","0.02","0.8","0.8"
"","","","","","","","6.2 
 - 9.5 
 8.2 
 30.8 
 14.2 
 4.4 
 1.5 
 5.7 
 1.4 
 7.4 
 4.9 
 - 17.8 
 - 3.3 
 4.4 
 3.5","- 6.7 
 2.0 
 - 12.9 
 8.3 
 14.7 
 16.1 
 - 10.5 
 - 16.0 
 - 31.0 
 - 12.6 
 - 5.9 
 0.6 
 3.9 
 - 20.9 
 - 2.0","0.01 
 - 0.02 
 0.06 
 0.00 
 0.03 
 0.01 
 0.02 
 1.7 
 0.03 
 1.23 
 0.07 
 - 0.02 
 - 0.01 
 0.39 
 2.0","- 0.01 
 0.00 
 - 0.09 
 0.00 
 0.03 
 0.05 
 - 0.11 
 - 4.8 
 - 0.68 
 - 2.18 
 - 0.09 
 0.00 
 0.01 
 - 1.88 
 - 1.1","0.2 
 0.2 
 0.7 
 0.0 
 0.2 
 0.3 
 1.1 
 30.2 
 2.2 
 17.2 
 1.4 
 0.1 
 0.2 
 9.0 
 56.9","0.2 
 0.2 
 0.7 
 0.0 
 0.3 
 0.4 
 1.0 
 27.5 
 1.7 
 16.3 
 1.5 
 0.1 
 0.2 
 7.7 
 60.5"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","1.3 
 18.0","2.6 
 - 1.4","0.31 
 0.51","0.62 
 - 0.05","24.2 
 3.2","26.9 
 3.5"
"","","","","","","","","","","","",""
"","","","","","","","7.5","- 15.4","0.76","- 1.63","10.5","9.7"
"","","","","","","","1.8","- 0.6","0.18","- 0.06","9.9","10.7"
"","","","","","","","2.2 
 4.0 
 - 3.6 
 3.5 
 12.6 
4.0","- 0.3 
 - 6.7 
 - 27.1 
 - 7.8 
 - 3.5 
 - 8.1","0.20 
 3.7 
 - 0.2 
 3.5","- 0.03 
 - 6.3 
 - 1.5 
 - 7.8","9.0 
 94.4 
 5.6 
 100.0","9.7 
 95.5 
 4.5 
 100.0"
"(a) Based on the GDP estimates (base year 2015)
(b) Provisional
(c) Revised","","","","","","","","","","Source : Department of Census and Statistics","",""
