"No.","HS code"
"107","40118090"
"108","40129010"
"109","40129090"
"110","401692"
"111","420100"
"112","420211"
"113","420212"
"114","420219"
"115","420221"
"116","420222"
"117","420229"
"118","420231"
"119","420232"
"120","420239"
"121","420291"
"122","420292"
"123","420299"
"124","420310"
"125","420321"
"126","420329"
"127","420330"
"128","420340"
"129","42050010"
"130","430400"
"131","44219990"
"132","570292"
"133","570320"
"134","570330"
"135","570500"
"136","610120"
"137","610130"
"138","610190"
"139","610210"
"140","610220"
"141","610230"
"142","610290"
"143","610310"
"144","610322"
"145","610323"
"146","610329"
"147","610331"
"148","610332"
"149","610333"
