"No.","HS code"
"236","620111"
"237","620112"
"238","620113"
"239","620119"
"240","620192"
"241","620193"
"242","620199"
"243","620211"
"244","620212"
"245","620213"
"246","620219"
"247","620291"
"248","620292"
"249","620293"
"250","620299"
"251","620311"
"252","62031290"
"253","62031990"
"254","62032290"
"255","62032390"
"256","62032990"
"257","620331"
"258","62033290"
"259","62033390"
"260","62033990"
"261","620341"
"262","62034290"
"263","62034390"
"264","62034990"
"265","62041290"
"266","62041390"
"267","62041990"
"268","62042290"
"269","62042390"
"270","62042990"
"271","620431"
"272","62043290"
"273","62043390"
"274","62043990"
"275","620441"
"276","62044290"
"277","62044390"
"278","62044490"
