"No.","HS code"
"279","62044990"
"280","62045290"
"281","62045390"
"282","62045990"
"283","620461"
"284","62046290"
"285","62046390"
"286","62046990"
"287","62052090"
"288","62053090"
"289","62059090"
"290","62061090"
"291","620620"
"292","62063090"
"293","62064090"
"294","62069090"
"295","620711"
"296","620719"
"297","62072290"
"298","62079190"
"299","62079990"
"300","62081190"
"301","62082190"
"302","62082290"
"303","62082990"
"304","62089190"
"305","62089290"
"306","62089990"
"307","620920"
"308","620930"
"309","620990"
"310","621010"
"311","621020"
"312","621030"
"313","621040"
"314","621050"
"315","621111"
"316","621112"
"317","621120"
"318","62113290"
"319","62113390"
"320","62113990"
"321","62114219"
