"No.","HS code"
"322","62114292"
"323","62114299"
"324","62114319"
"325","62114392"
"326","62114399"
"327","62114919"
"328","62114992"
"329","62114999"
"330","621210"
"331","621220"
"332","621230"
"333","621290"
"334","62132090"
"335","62139090"
"336","62141090"
"337","62144090"
"338","62149090"
"339","621510"
"340","621520"
"341","621590"
"342","621600"
"343","630110"
"344","630120"
"345","630130"
"346","630140"
"347","630190"
"348","630210"
"349","63022190"
"350","63022290"
"351","63022990"
"352","63023190"
"353","63023290"
"354","63023990"
"355","630240"
"356","63025190"
"357","63025990"
"358","63026090"
"359","63029190"
"360","63029390"
"361","63029990"
"362","630312"
"363","630319"
"364","630391"
