"No.","HS code"
"193","610831"
"194","610832"
"195","610839"
"196","610891"
"197","610892"
"198","610899"
"199","610910"
"200","610990"
"201","611011"
"202","611012"
"203","611019"
"204","611020"
"205","611030"
"206","611090"
"207","611120"
"208","611130"
"209","611190"
"210","611211"
"211","611212"
"212","611219"
"213","611231"
"214","611239"
"215","611241"
"216","611249"
"217","611300"
"218","611420"
"219","611430"
"220","611490"
"221","611510"
"222","611529"
"223","611530"
"224","611594"
"225","611595"
"226","611596"
"227","611599"
"228","611610"
"229","611691"
"230","611692"
"231","611693"
"232","611699"
"233","611710"
"234","61178010"
"235","61178020"
