"No.","HS code"
"453","73241010"
"454","73241090"
"455","732421"
"456","732429"
"457","732490"
"458","76151020"
"459","76151090"
"460","821599"
"461","830520"
"462","830629"
"463","841451"
"464","841459"
"465","84151021"
"466","84151022"
"467","84151023"
"468","84151024"
"469","84151029"
"470","84151032"
"471","84151033"
"472","84151034"
"473","84151035"
"474","84151039"
"475","84158190"
"476","84158290"
"477","84158390"
"478","84159019"
"479","84159029"
"480","84181090"
"481","84182190"
"482","84182920"
"483","84182990"
"484","84501110"
"485","84501131"
"486","84501132"
"487","84501133"
"488","84501134"
"489","84501139"
"490","84501141"
"491","84501142"
"492","84501143"
"493","84501144"
"494","84501149"
"495","84501210"
"496","84501231"
