"No.","HS code"
"21","08109090"
"22","110412"
"23","110419"
"24","110422"
"25","110423"
"26","110429"
"27","110430"
"28","110510"
"29","110520"
"30","110710"
"31","110720"
"32","110814"
"33","180620"
"34","180631"
"35","180632"
"36","180690"
"37","190211"
"38","190219"
"39","190220"
"40","190230"
"41","190240"
"42","190410"
"43","190420"
"44","20091190"
"45","200971"
"46","200979"
"47","200990"
"48","220210"
"49","220291"
"50","22029910"
"51","22029930"
"52","22029940"
"53","22029951"
"54","22029959"
"55","22029961"
"56","22029969"
"57","22029970"
"58","22029991"
"59","22029999"
"60","22030010"
"61","22030020"
"62","22030090"
"63","220410"
