"Requirement","","Complied","Not complied","Comment"
"Purpose","Educational","","",""
"","Commercial","","",""
"","Other","","",""
"","","","",""
"Conditions","Size","","",""
"","Material/Substrate","","",""
"","Inclusion of word
“SPECIMEN”","","",""
"","Whether reproduction 
is in Black and White","","",""
"","Inclusion of the words 
“This reproduction is 
approved by CBSL”","","",""
"","Print on one side only","","",""
"","Signatures have been 
obliterated","","",""
"","No distortion","","",""
