"","Crop & Code","","","Land 
Preparation 
Rs.","Seed 
Nursery 
and 
Planting 
Rs.","Fertilizer 
Rs.","Chemical 
(Pest/	
weed/	
fungus) 
Rs.","","Others","","Total Cost","Maximum 
Loan Limit","Extend of 
Land Units 
(Acres)",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","Rs.","","Rs.","per Acre 
Rs.","",""
"","","","","","","","","","","","","","Min","Max"
"1
Paddy","","","","","","","","","","","","","",""
"","","Irrigated (PI)","","12,274","4,796","1,870","3,677","","17,348","","39,965","30,000","0.25",""
"","","","","","","","","","","","","","","10"
"","","Rainfed  (PR)","","13,241","6,844","2,336","5,290","","15,066","","42,777","32,000","0.25",""
"","","","","","","","","","","","","","",""
"2","Chillies","( C )","","24,002","17,959","17,468","31,832","","25,680","","116,941","88,000","0.125","2"
"","","","","","","","","","","","","","",""
"3","Onion","","( O )","14,089","74,589","34,727","15,895","","48,010","","187,310","140,000","0.125","2"
"4","Pulses","","","","","","","","","","","","",""
"","","Cowpea       (M1)","","4,147","4,838","-","8,262","","11,215","","28,462","21,000","0.125",""
"","","","","","","","","","","","","","",""
"","","Green Gram  (M2)","","10,108","4,269","-","6,715","","14,726","","35,818","27,000","0.125",""
"","","","","","","","","","","","","","","5"
"","","Black Gram   (M3)","","12,509","2,830","-","1,645","","11,317","","28,301","21,000","0.125",""
"","","","","","","","","","","","","","",""
"","","Soya beans  (M4)","","5,612","3,904","4,963","6,710","","8,113","","29,302","22,000","0.125",""
"","","","","","","","","","","","","","",""
"","","Kurakkan      (M5)","","11,367","5,969","-","-","","7,537","","24,873","19,000","0.125",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","Maize           (M)","","13,617","9,572","7,268","7,704","","7,421","","45,582","34,000","0.125","10"
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"5","Oil Seeds","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","Ground Nut  (L1)","","5,085","16,077","-","8,897","","11,799","","41,858","31,000","0.125","5"
"","","","","","","","","","","","","","",""
"","","Gingelly        (L2)","","9,329","4,979","","","","10,694","","25,002","19,000","0.125",""
"","","","","","","","","","","","","","",""
"","","Sun Flower   (L3)","","5,160","3,870","3,225","1,290","","5,160","","18,705","14,000","0.125",""
"6","Root & Tuber","","","","","","","","","","","","",""
"","","Potato         (T)","","31,291","176,812","70,804","29,640","","27,069","","335,616","252,000","0.125","2"
