"No","Entity","","","","Actual 
Employees 
as at 30 June 
2021","Turnover  as at 
3112-2020 
(Rs.Mn)","WC forcast for 
3 months 
(Rs.Mn)",""
"40","State Engineering Corporation of Sri Lanka( including 
National Equipment of Machinary Organization- NEMO)","","","","2260","1,532","500",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"41","State Printing Corporation","","","","602","1,843","300",""
"42","Associated Newspapers Ceylon Ltd (Lakehouse)","","","","1341","1,911","150",""
"","","","","","","","",""
"43","Sri Lanka Thriposha Ltd","","","","246","1,996","300",""
"","","","","","","","",""
"44","Sir John Kotelawala Defense University","","","","1709","2,062","264",""
"45","Ceylon Fertilizer Company Ltd","","","","367","2,101","400",""
"46","STC General Trading Company Ltd","","","","352","2,454","400",""
"47","Civil Aviation Authority","","","","182","2,504","26",""
"48","Ceylon Fisheries Corporation","","","","672","2,900","500",""
"","","","","","","","",""
"49","National Livestock Development Board","","","","1988","3,232","300",""
"","","","","","","","",""
"50","Ceylon Shipping Corporation Ltd","","","","120","3,849","500",""
"51","Central Engineering Consultancy Bureau","","","","1289","6,131","500",""
"","","","","","","","",""
"52","Sri Lanka Land Development Corporation","","","","1480","7,366","250",""
"53","Milco (Pvt) Ltd","","","","1422","11,047","1,000",""
