"Name of 
the Account","Account","","Opening","Credits","","","","","Debits","","","","","","","","Closing"
"","","","","Inward Remittances/","Inward Remittances/ Deposits","","","","","","","Payments","Withdrawal/","","","",""
"","","","","","","","","","","","","","","","","",""
"Holder","Number","","Balance","Deposits for the initial 
sum of USD 2,000","for the living expenses of a/c 
holder and of his dependents","Earnings in 
Sri Lanka","","Other","Local 
Disbursements","","","for Current 
Transactions","transfer of any","","","Other","Balance"
"","","","","","","","","","","","","","unutilized funds","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
