"","","","","","","","","","",""
"Types of Approvals","","","","","","","","","No. of Approvals
Processed
Granted",""
"Opening and Installation 
  Branches
  Self Service Machines (SSMs)
  Student Saving Units (SSUs)
  Mobile Banking Units and Vehicles
  Other Banking Outlets 
  Agents of Licensed Banks 
Relocation","","","","","","","","","428","366"
"","","","","","","","","","32","13"
"","","","","","","","","","",""
"","","","","","","","","","205","166"
"","","","","","","","","","",""
"","","","","","","","","","0
0","0
0"
"","","","","","","","","","35","35"
"","","","","","","","","","156","152"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","111
94
12","80
67
8"
"Branches
  SSMs
  Other
Closures and cancellation of","","","","","","","","","",""
"","","","","","","","","","5","5"
"","","","","","","","","","",""
"","approvals granted for branches","","","","","","","","7","5"
"","","","","","","","","","",""
"","and other service outlets","","","","","","","","",""
"","","","","","","","","","",""
"Discontinuation and cancellation","","","","","","","","","",""
"of approvals granted for ATMs","","","","","","","","","7","5"
"","","","","","","","","","",""
"","","","","","","","","","",""
"and Other Automated Machines","","","","","","","","","",""
"","","","","","","","","","",""
"Discontinuation and cancellation","","","","","","","","","",""
"of approvals granted for Agents 
of licensed banks
Total","","","","","","","","","33","28"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","586","484"
"","","","","","","","","","",""
