"","","","","",""
"Item","2020","","2021(a) Change","",""
"","","","","",""
"","","","","",""
"","","","","(%)",""
"Total value of the Fund (Rs.bn)","2,824.3","3,166.1","12.1","",""
"Total liability to members (Rs.bn)","2,767.8","3,066.9","10.8","",""
"Total number of member accounts (mn)","19.8","19.8","-","",""
"Contributing member accounts (mn)
  Non-contributing member accounts (mn)
Total contributions (Rs.bn)","2.6 
 17.2 
150.7","2.3
17.5
165.7","(11.5)
1.7
9.9","",""
"","","","","",""
"Total refunds (Rs. bn)","109.7","118.2","7.7","",""
"Net contribution (Rs.bn)
Number of refunds","41.0 
197,401","47.5
179,681","15.9
(9.0)","",""
"(a) Provisional                         Source: EPF Department, Central Bank of Sri Lanka","","","","",""
