"","Credit","2021","%","2020","%"
"","Rating","Rs.000","","Rs.000",""
"Local Currency Financial Assets","","","","",""
"Sri Lanka Government Securities","CCC+","1,377,820,347","46.15%","714,531,527","30.83%"
"Securities Purchased under Resale Agreements","AA-","557,856,718","18.69%","-","0.00%"
"","A+","-","0.00%","318,047","0.01%"
"","A","5,656,932","0.19%","-","0.00%"
"","BBB-","-","0.00%","2,410,364","0.11%"
"","NR","4,018,662","0.14%","-","0.00%"
"Provisional Advances to Government","CCC+","150,128,800","5.03%","153,061,900","6.60%"
"Equity Investments in Financial and Other Institutions","NR","1,671,218","0.06%","1,615,356","0.07%"
"Loans to Banks","AAA","24,917","0.00%","147,319","0.01%"
"","AA+","-","0.00%","61,475,682","2.65%"
"","AA-","51,999,491","1.74%","9,094,883","0.39%"
"","A+","16,372,930","0.55%","19,966,369","0.86%"
"","A","9,977,843","0.33%","13,458,641","0.58%"
"","A-","-","0.00%","937,978","0.05%"
"","BBB+","6,201,554","0.21%","105,757","0.00%"
"","BBB-","2,933,926","0.10%","3,092,924","0.13%"
"","BB+","2,688,669","0.09%","2,599,883","0.11%"
"","NR","373,416","0.01%","608,090","0.03%"
"Other Assets","AAA","325,579","0.01%","137,785","0.00%"
"","AA+","-","0.00%","709,281","0.03%"
"","AA-","5,699,123","0.19%","-","0.00%"
"","A+","727,308","0.02%","190,126","0.01%"
"","A","-","0.00%","19,752","0.00%"
"","A-","-","0.00%","98,293","0.00%"
"","CCC+","19,206,430","0.64%","12,680,416","0.55%"
"","NR","8,105,330","0.27%","9,261,536","0.40%"
"Total Local Currency Financial Assets","","2,221,789,193","74.42%","1,006,521,910","43.42%"
"Total Financial Assets","","2,985,438,562","100.00%","2,317,859,785","100.00%"
