"","","2021","","","","2020","",""
"","Stage 1","Stage 2","Stage 3","Total","Stage 1","Stage 2","Stage 3","Total"
"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Cash & Cash Equivalents","","","","","","","",""
"Balance as at 1 January","90,277","180,061","-","270,338","219,331","2,627","-","221,958"
"Transfer to Stage 1","1,164","(1,164)","-","-","-","-","-","-"
"Transfer to Stage 2","(52)","52","-","-","(182,822)","182,822","-","-"
"Transfer to Stage 3","-","-","-","-","-","-","-","-"
"Amount charged to the Income Statement","(39,380)","(145,590)","-","(184,970)","53,768","(5,388)","-","48,380"
"Balance as at 31 December","52,009","33,359","-","85,368","90,277","180,061","-","270,338"
"Securities at Fair Value through Other","","","","","","","",""
"Comprehensive Income","","","","","","","",""
"Balance as at 1 January","36,546","2,062,175","-","2,098,721","81,259","19,635","-","100,894"
"Transfer to Stage 1","-","-","-","-","6,380","(6,380)","-","-"
"Transfer to Stage 2","-","-","-","-","(24,507)","24,507","-","-"
"Transfer to Stage 3","-","-","-","-","-","-","-","-"
"Amount charged to the Income Statement","(35,551)","(2,062,175)","-","(2,097,726)","(26,586)","2,024,413","-","1,997,827"
"Balance as at 31 December","995","-","-","995","36,546  2,062,175","","-","2,098,721"
"IMF Related Assets","","","","","","","",""
