"As at 31","United States","Euro","Japanese","Sterling","SDR","Australian","Canadian","New","Other","Total"
"December","Dollars","","Yen","Pound","","Dollars","Dollars","Zealand","Currencies","All"
"","","","","","","","","Dollars","","Currencies"
"2020","","","","","","","","","",""
"","Rs.  000","Rs.  000","Rs.  000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs.  000"
"Foreign Currency","","","","","","","","","",""
"Financial Assets","","","","","","","","","",""
"Cash & Cash","","","","","","","","","",""
"","309,734,328","11,676,634","80,232,700","528,305","-","150,537","26,322","806,941","421,875","403,577,642"
"Equivalents","","","","","","","","","",""
"Securities at Fair","","","","","","","","","",""
"Value through Profit","","","","","","","","","",""
"or Loss and Fair","","","","","","","","","",""
"","663,466,506","-","5,194,267","2,276,997","-","38,564,143","-","20,120,199","14,377,674","743,999,786"
"Value through Other","","","","","","","","","",""
"Comprehensive","","","","","","","","","",""
"Income","","","","","","","","","",""
"Derivative Financial","","","","","","","","","",""
"","-","-","-","-","-","-","-","-","3,370,353","3,370,353"
"Instruments","","","","","","","","","",""
"IMF Related Assets","-","-","-","-","158,958,187","-","-","-","-","158,958,187"
"Other  Receivables","1,702,247","-","-","-","-","-","-","-","-","1,702,247"
"Total Foreign","","","","","","","","","",""
"Currency","974,903,081","11,676,634","85,426,967","2,805,302","158,958,187","38,714,680","26,322","20,927,140","18,169,902","1,311,608,215"
"Financial Assets","","","","","","","","","",""
"Proportion","74.33%","0.89%","6.51%","0.21%","12.12%","2.95%","0.00%","1.60%","1.39%","100.00%"
"Foreign Currency","","","","","","","","","",""
"Financial Liabilities","","","","","","","","","",""
"Banks and Financial","","","","","","","","","",""
"","208,337,021","15","-","-","-","185","-","-","-","208,337,221"
"Institutions","","","","","","","","","",""
"Derivative Financial","","","","","","","","","",""
"","449,945","-","-","-","-","-","-","-","124,237","574,182"
"Instruments","","","","","","","","","",""
"Asian Clearing","","","","","","","","","",""
"","63,864,652","-","-","-","-","-","-","-","-","63,864,652"
"Union","","","","","","","","","",""
"IMF","-","-","-","-","509,925,278","-","-","-","-","509,925,278"
"Other","74,819,182","-","-","-","-","-","-","-","51,143","74,870,325"
"Total Foreign","","","","","","","","","",""
"","347,470,800","15","-","-","509,925,278","185","-","-","175,380","857,571,658"
"Currency Financial","","","","","","","","","",""
"Liabilities","","","","","","","","","",""
"Proportion","40.52%","0.00%","0.00%","0.00%","59.46%","0.00%","0.00%","0.00%","0.02%","100.00%"
"Net Foreign","","","","","","","","","",""
"","627,432,281","11,676,619","85,426,967","2,805,302","(350,967,091)","38,714,495","26,322","20,927,140","17,994,522","454,036,557"
"Currency Exposure","","","","","","","","","",""
