"In  addition,  LIC  subscribed  to  online  resources  on  subjects","","","Table II-3","","",""
"relevant  to  Central  Banking;  e.g.  www.centralbanking.com,","","Issuance of Currency Notes and Coins","","","",""
"www.economist.com,  etc.  to  provide  staff  access  to  them.","","","Value (Rs. bn)","","",""
"","Item","","","","",""
"LIC subscribes to international periodicals and journals such","","2017","2018","2019","2020","2021"
"","Fit Notes","504.6","467.0","526.5","467.1","172.7"
"as  Fortune  Magazine,  Time  Magazine,  South  Asia  Economic","","","","","",""
"","New Notes","123.3","328.4","248.7","229.5","217.3"
"Journal and The Economist in printed form and Asia Monitor,","","","","","",""
"","Coins (a)","1.4","1.1","1.0","0.7","0.9"
"Payment  Cards  and  Mobiles  Payment,  Journal  of  Financial","","","","","",""
"","Total","629.3","796.5","776.2","697.3","390.9"
"Crime, Financial Regulation & Compliance, Money Laundering","","","","","",""
"","","(a) Commemorative coins are excluded from coin issuances","","","",""
"Control,  Journal  of  Human  Resources  in  both  printed  and","","","","","",""
