"","Credit Rating","Not Subject to","12 - Month","Life Time ECL","","2020"
"","","ECL","ECL","","",""
"","","","Stage 1","Stage 2","Stage 3","Total"
"","","Rs.000","Rs.000","Rs.000","Rs.000","Rs.000"
"Loans to Banks","AAA","-","147,319","-","-","147,319"
"","AA+","-","61,475,776","-","-","61,475,776"
"","AA-","-","9,094,989","-","-","9,094,989"
"","A+","-","19,967,361","-","-","19,967,361"
"","A","-","13,459,930","-","-","13,459,930"
"","A-","-","938,151","-","-","938,151"
"","BBB+","-","94,935","10,864","-","105,799"
"","BBB-","-","3,096,013","-","-","3,096,013"
"","BB+","-","-","2,612,025","-","2,612,025"
"","NR","-","608,531","136,000","-","744,531"
"Gross Carrying Amount","","-","108,883,005","2,758,889","-","111,641,894"
"Loss Allowance","","-","(6,215)","(148,153)","-","(154,368)"
"Carrying Amount","","-","108,876,790","2,610,736","-","111,487,526"
"Other Assets","","","","","",""
"","Government Securities","","","","",""
"","(Risk Free Investment)","12,082,642","-","-","-","12,082,642"
"","Receivable from the","","","","",""
"","Government (Risk Free","597,774","-","-","-","597,774"
"","Investment)","","","","",""
"","Other Risk Free","","","","",""
"","","9,259,535","-","-","-","9,259,535"
"","Receivable","","","","",""
"Locally Rated","AAA","-","137,785","-","-","137,785"
"","AA+","-","709,287","-","-","709,287"
"","A+","-","190,146","-","-","190,146"
"","A","-","19,756","-","-","19,756"
"","A-","-","98,311","-","-","98,311"
"","NR","-","-","81,525","183,276","264,801"
"Gross Carrying Amount","","21,939,951","1,155,285","81,525","183,276","23,360,037"
"Loss Allowance","","-","(48)","(79,524)","(183,276)","(262,848)"
"Carrying Amount","","21,939,951","1,155,237","2,001","-","23,097,189"
