"","","Table B 1.1","","",""
"","","History of IMF Programmes Obtained by Sri Lanka","","",""
"","","","","","000’ SDRs"
"Facility","Date of Arrangement","Expiration Date","Amount Agreed","Amount Drawn","Amount Outstanding"
"EFF","Jun 03, 2016","Jun 02, 2020","1,070,780","952,230","892,283"
"SBA","Jul 24, 2009","Jul 23, 2012","1,653,600","1,653,600","0"
"ECF","Apr 18, 2003","Apr 17, 2006","269,000","38,390","0"
"EFF","Apr 18, 2003","Apr 17, 2006","144,400","20,670","0"
"SBA","Apr 20, 2001","Sep 19, 2002","200,000","200,000","0"
"ECF","Sep 13, 1991","Jul 31, 1995","336,000","280,000","0"
"SAFC","Mar 09, 1988","Mar 08, 1991","156,170","156,170","0"
"SBA","Sep 14, 1983","Jul 31, 1984","100,000","50,000","0"
"EFF","Jan 01, 1979","Dec 31, 1981","260,300","260,300","0"
"SBA","Dec 02, 1977","Dec 01, 1978","93,000","93,000","0"
"SBA","Apr 30, 1974","Apr 29, 1975","24,500","7,000","0"
"SBA","Mar 18, 1971","Mar 17, 1972","24,500","24,500","0"
"SBA","Aug 12, 1969","Aug 11, 1970","19,500","19,500","0"
"SBA","May 06, 1968","May 05, 1969","19,500","19,500","0"
"SBA","Jun 15, 1966","Jun 14, 1967","25,000","25,000","0"
"SBA","Jun 15, 1965","Jun 14, 1966","30,000","22,500","0"
"","","","","","Source: Sri Lanka Country Page (IMF Website)"
