"first quay wall of the East Container Terminal (ECT)","","","","",""
"","","","Figure 3.8","",""
"commenced in October 2020 and 41,741 Twenty-foot","","","Container Handling, Transshipment","",""
"","","","Volume and Ship Arrivals","",""
"Equivalent Container Units (TEUs) were handled by","","","","",""
"","","8,000","","5,200",""
"the ECT by end December 2020.","","","","",""
"","","7,000","","",""
"","","","","5,000",""
"","","6,000","","",""
"","","","","4,800",""
"Although  vehicle  handling  declined  notably","","5,000","","",""
"","","","","4,600",""
"","TEUs  ('000)","4,000","","",""
"at  the  Port  of  Hambantota  during  2020,  cargo","","","","4,400","Number"
"","","3,000","","",""
"handling registered a significant expansion with","","","","4,200",""
"","","2,000","","",""
"","","","","4,000",""
"the  diversion  of  some  vessels  from  the  Port","","1,000","","",""
"","","0","","3,800",""
"","","","","",""
"of  Colombo  to  the  Hambantota  Port  with  the","","","2016
2017
2018
2019
2020","",""
