"","Supply and Drainage Board","","","","","","","",""
"","","","","","","Institutional Framework and","","",""
"","","","","","","","","",""
"Item","2019","2020 (a)","Growth Rate (%)","","","Performance","","",""
"","","","2019","2020 (a)","","","","",""
"Total Water Supply Schemes (No.) (b)","348","331","-","-4.9","","","","",""
"","","","","","","","","",""
"Total New Connections provided during","","","","","Health","","","",""
"the period (No.)","108,850","122,733","-0.6","12.8","","","","",""
"Total Connections (No.) (b)","2,437,504","2,560,237","4.7","5.0","","","","",""
"Total Water Production (MCM) (c)","746","782","5.5","4.8","","","","",""
"","","","","","","Although Sri Lanka faced severe challenges","","",""
"Non Revenue Water (%)","","","","","","","","",""
"","","","","","","","","",""
"Colombo City","40.6","39.2","-2.6","-3.4","","in  containing  the  two  waves  of  the  COVID-19","","",""
"Islandwide","25.1","24.6","0.5","-1.7","","","","",""
"","","","","","","","","",""
"Access to Safe Drinking Water (per cent) (d)","91.9","93.2","1.4","1.4","","outbreak,  collaborative  actions  of  the  health","","",""
"Access to Pipe Borne Water (per cent) (e)","51.8","53.1","2.6","2.5","","","","",""
"","","","","","sector","and","other","stakeholders","enabled"
"(a) Provisional","","","Source: National Water Supply","","","","","",""
