"attempting 
to  provide  uninterrupted","services","to","Table 3.9","",""
"","","","","Salient Features of Health Services",""
"patients  who  were  receiving  long  term  care  from","","","","",""
"","","","Item","2019 (a)","2020 (b)"
"government  hospitals.  Accordingly,","the  MoH","took","","",""
"","","","1. Government (No.)","",""
"measures  to  distribute  medicines  to  the  homes  of","","","Hospitals (Practicing Western Medicine)","603","609"
"","","","Beds","77,964","77,121"
"NCD patients who were undergoing long term follow","","","Primary Medical Care Units","499","518"
"","","","Doctors","18,130","19,615"
"up  at  government  hospitals.  This  was  carried  out","","","","",""
"","","","Assistant Medical Practitioners","756","658"
"","","","Nurses","38,276","37,634"
"by  postal  delivery  and  delivery  through  health  and","","","","",""
"","","","Attendants","8,531","8,384"
"non-health  government  officers,  village  leaders  and","","","","",""
"","","","2. Ayurvedic (No.)","",""
"","","","","",""
"volunteers.  Awareness  campaigns  were  conducted","","","Hospitals","116","118"
"","","","Beds","5,052","5,058"
"through  mass  media  and  social  media  to  promote","","","Qualified Ayurvedic Doctors","1,768","1,757"
"","","","Registered Ayurvedic Doctors (c)","25,783","26,061"
"healthy  lifestyles  and  to  educate  the  general  public","","","","",""
"","","","(a) Revised","Sources: Ministry of Health",""
