"","Maturity Analysis of Outstanding Credit to the Private Sector by Commercial Banks (a)(b)","","","","","",""
"","","","December 2020","","","December 2021 (c)",""
"Sector","Maturity","","","","","",""
"","","% Share","","% Growth","% Share","% Growth",""
"Agriculture and Fishing","Short Term","4.5","","-1.7","4.6","14.6",""
"","Medium Term","1.7","","-5.3","1.6","9.2",""
"","Long Term","1.5","","44.0","1.4","2.4",""
"Industry","Short Term","11.5","","-9.2","12.3","19.7",""
"","Medium Term","8.5","","0.1","8.4","10.8",""
"","Long Term","19.8","","17.4","19.5","10.8",""
"Services","Short Term","8.6","","-12.6","9.2","19.9",""
"","Medium Term","9.1","","4.3","8.7","8.1",""
"","Long Term","9.2","","15.6","9.6","17.5","7"
"","","","","","","",""
"Personal Loans and Advances","Short Term
Medium Term","9.2
5.5","","-3.6
10.4","9.7
5.0","17.3
1.6",""
"","Long Term","10.8","","41.5","10.0","3.2",""
"Total","Short Term","33.9","","-7.7","35.7","18.4",""
"","Medium Term","24.8","","3.4(d)","23.8","6.0",""
"","Long Term","41.3","","23.3","40.5","10.0",""
