"","","","","","Change","",""
"","","End","End","","","",""
"","Item","","","2020","","2021",""
"","","2020","2021 (a)","","","",""
"","","","","Amount","%","Amount","%"
"","1.   Currency Outstanding","834.8","1,005.1","156.8","23.1","170.3","20.4"
"","1.1 Currency held by the Public","641.0","784.4","146.8","29.7","143.4","22.4"
"","1.2 Currency with Commercial Banks","193.8","220.6","10.0","5.5","26.9","13.9"
"","2.   Commercial Banks’ Deposits with the Central Bank (b)","129.6","300.7","-125.0","-49.1","171.1","132.0"
"","3.   Government Agencies’ Deposits with the Central Bank (c)","0.03","0.01","","","",""
"","4.   Reserve Money   (1+2+3)","964.4","1,305.8","31.8","3.4","341.4","35.4"
"","5.   Demand Deposits held by the Public with Commercial Banks","536.1","675.4","164.9","44.4","139.3","26.0"
"","6.   Narrow Money Supply, M1   (1.1+5)","1,177.2","1,459.9","311.7","36.0","282.7","24.0"
"","7.   Time and Savings Deposits held by the Public with Commercial Banks","7,318.6","8,179.0","1,271.4","21.0","860.4","11.8"
"","8.   Broad Money Supply, M2    (6+7)","8,495.8","9,638.9","1,583.1","22.9","1,143.1","13.5"
"","9.   Adjusted Foreign Currency Deposits (d)","909.9","1,008.4","198.5","27.9","98.5","10.8"
"","","","","","","",""
"7","10. Consolidated Broad Money Supply, M2b  (8+9)","9,405.7","10,647.3","1,781.6","23.4","1,241.6","13.2"
"","Money Multiplier, M2b","9.75","8.15","","","",""
"","Velocity, M2b (e)","1.77 (f)","1.65","","","",""
