"","","","","","","",""
"4-year","6.40","10.38","398","","Lending Rate (AWNSR)10 reached 10.49 per cent","",""
"5-year","6.65","10.66","401","","","",""
"10-year","7.55","11.71","416","","","",""
"","","","","","and  10.04  per  cent,  respectively,  by  end  2021.","",""
"Licensed Commercial Banks (d)","","","","","","",""
"","","","","","","",""
"Interest Rates on Deposits","","","","","In view of tightened monetary conditions, several","",""
"Savings deposits","0.10-7.00","0.05-6.35","-","","","",""
"1 Year Fixed Deposits (e)","0.25-15.00","0.15-15.00","-","","","",""
"","","","","maximum","interest","rates  applicable  on","lending"
"AWDR (f)","5.80","4.94","-86","","","",""
"AWFDR (f)","7.14","5.94","-120","","","",""
"","","","","","products were also revised upwards. Accordingly,","",""
"AWNDR (f)","4.93","6.45","152","","","",""
"","","","","","","",""
"AWNFDR (f)","5.08","6.67","159","the 
interest","rate","applicable 
on 
the","special"
"Interest Rates on Lending","","","","","","",""
"AWPR (Monthly)","5.74","8.33","259","","mortgage-backed","housing 
loan","scheme 
for"
"AWLR","10.29","9.87","-42","","","",""
"AWNLR","8.38","9.48","110","","salaried employees introduced in December 2020","",""
"","","","","","","",""
"Other Financial Institutions (g)","","","","","was changed from the fixed rate of  7 per cent per","",""
"Interest Rates on Deposits","","","","","","",""
"","","","","","","",""
"National Savings Bank","","","","","annum for the first five years of the loan to a variable","",""
"Savings Deposits","3.50","3.50","0","","","",""
"","","","","","","",""
"1 Year Fixed Deposits","5.25","5.50","25","rate 
linked","","to  monthly  AWPR.  Further,  given",""
"Licensed Finance Companies (h)","","","","","","",""
"Savings Deposits","3.40-4.74","3.46-4.75","-","","tightened  monetary  conditions,  caps  imposed  in","",""
"1 Year Fixed Deposits","6.56-7.21","9.02-10.13","-","","","",""
"","","","","","August 2020 on interest rates of domestic lending","",""
"Interest Rates on Lending","","","","","","",""
"National Savings Bank","7.00-10.00","7.50-11.50","-","","","",""
"","","","","","products  were  revised  upwards  in  March  2022,","",""
"State Mortgage and Investment Bank (i)","8.73-12.50","7.50-12.50","-","","","",""
"Licensed Finance Companies (h)","","","","","","",""
"","","","","","where  the  maximum  interest  rate  applicable  to","",""
"Finance Leasing","14.31-28.97","12.77-28.33","-","","","",""
"Hire Purchase","13.71-20.05","11.08-27.00","-","","","",""
"","","","","","credit  cards  was  increased  to  20  per  cent  per","",""
"Loans against Real Estate (j)","19.95-22.30","-","-","","","",""
"Loans against Immovable Properties (j)","-","15.77-16.77","-","","","",""
"","","","","","annum;  on  pre-arranged","","temporary  overdrafts"
"Corporate Debt Market","","","","","","",""
"","","","","","","",""
"Debentures","9.00-13.25","8.00-12.00","-","increased","","to  18  per  cent  per  annum;  and  on",""
"Commercial Paper","6.50-15.50","6.00-12.00","-","","","",""
"(a)  Weighted average yield rates at the latest","","Sources: Respective Financial Institutions","","","pawning  facilities  increased  to  12  per  cent  per","",""
"available auction.","","Colombo Stock Exchange","","","","",""
"(b)  Last Primary Auction during 2020:","","","","","","",""
"","","Central Bank of Sri Lanka","","annum,","which 
were","subsequently","removed"
"2 yr-28 Sep; 3 yr-11 Dec; 4 yr-12 Nov;","","","","","","",""
"5 yr-11 Dec; 10 yr-13 Jan","","","","","","",""
"(c)   Last Primary Auction during 2021:","","","","","entirely in April 2022.","",""
"","2 yr-11 Nov; 3 yr-13 Dec; 4 yr- 30 Aug; 5 yr-12 Oct; 10 yr- 29 Jul","","","","","",""
"(d)  Based on the rates quoted by LCBs","","","","","","",""
"(e)  Maximum rate is a special rate offered by certain LCBs.","","","","8","For the purpose of the monthly SME Credit Survey, banks are requested to consider","",""
"","(f)   Since July 2018, AWDR and AWFDR were calculated by replacing senior citizens’ special","","","","lending to enterprises with an annual turnover not exceeding Rs. 1 billion and employ","",""
"","deposit rate of 15 per cent with relevant market interest rates to exclude the impact of special","","","","less than 300 employees.","",""
"","rates. Same method was applied to calculate AWNDR and AWNFDR since June 2018.","","","","","",""
"(g)  Based on the rates quoted by other selected Financial Institutions","","","","9","AWSR is based on interest rates of all outstanding rupee loans and advances extended","",""
"","(h)  Interest rate ranges are based on the average maximum and average minimum rates quoted","","","","by licensed banks to the SME sector, excluding refinance schemes of the Government","",""
"","by LFCs which are applicable for deposits mobilised and loans granted during the respective","","","","","",""
"","","","","and the Central Bank.","","",""
"months. Data for 2021 are provisional.","","","","","","",""
"(i)   Lending for housing purposes only","","","","","10   AWNSR  captures  interest  rates  of  all  new  rupee  loans  and  advances  extended  by","",""
"","(j)   “Loans against Real Estate” indicator changed to “Loans against Immovable Properties” from","","","","","",""
"","","","","","licensed  banks  during  a  particular  month  to  the  SME  sector,  excluding  refinance","",""
"July 2021 onwards","","","","","","",""
"","","","","","schemes of the Government and the Central Bank.","",""
