"6. FISCAL POLICY AND GOVERNMENT FINANCE","","","","","",""
"6.1","Overview","…","…","…","…","195"
"6.2","Fiscal Policy Measures","…","…","…","…","196"
"6.3","Government Budgetary Operations","…","…","…","…","204"
"","Revenue and Grants","…","…","…","…","204"
"","Revenue","…","…","…","…","204"
"","Grants","…","…","…","…","206"
"","Expenditure and Net Lending","…","…","…","…","206"
"","Key Fiscal Balances and Financing the Budget Deficit","…","…","…","…","208"
"6.4","Government Debt and Debt Service Payments","…","…","…","…","210"
"","Central Government Debt","…","…","…","…","210"
"","Central Government Debt Service Payments","…","…","…","…","213"
"","Outstanding Public Debt","…","…","…","…","215"
"6.5","Budgetary Operations in Sub National Governments","...","…","…","…","216"
"","","Policy Directions and Measures taken by Sub National Governments","…","…","…","216"
"","Budgetary Operations in Provincial Councils","…","…","…","…","217"
