"Labour Productivity 
…","…","…","…","98"
"3. ECONOMIC AND SOCIAL INFRASTRUCTURE","","","",""
"3.1  
Overview    
…","…","…","…","99"
"3.2  
Economic Infrastructure Policies, Institutional Framework and Performance","","…","…","100"
"Petroleum  
…","…","…","…","100"
"Electricity  
…","…","…","…","107"
"Road Development  
...","…","…","…","112"
"Road Passenger Transportation  
...","...","...","…","113"
"Rail Transportation  
…","…","…","…","115"
"Civil Aviation  
…","…","…","…","116"
"Port Services  
...","…","…","…","118"
"Communication Services  
…","…","…","…","120"
"Water Supply and Irrigation  
…","…","…","…","122"
"3.3  
Social Infrastructure Policies, Institutional Framework and Performance","…","…","…","124"
"Health   
…","…","…","…","124"
"Education  
…","…","…","…","130"
"Housing and Urban Development  
…","…","…","…","134"
"Poverty Alleviation and Safety Nets  
…","…","…","…","135"
"Environment  
…","…","…","…","139"
"4. PRICES AND WAGES","","","",""
"4.1  
Overview    
...","…","…","…","141"
"4.2  
Prices  
 
…","…","…","…","142"
"Movements in the General Price Level  
…","…","…","…","142"
"Consumer Price Indices 
…","…","…","…","148"
"Colombo Consumer Price Index (CCPI)  
…","…","…","…","148"
"National Consumer Price Index (NCPI) 
…","…","…","…","148"
"Producer Price Index (PPI) 
…","…","…","…","151"
"4.3  
Wages 
 
…","…","…","…","151"
"Private Sector Wages  
…","…","…","…","151"
"Public Sector Wages  
…","…","…","…","152"
"5. EXTERNAL SECTOR DEVELOPMENTS AND POLICIES","","","",""
"5.1  
Overview    
…","…","…","…","153"
"5.2  
Current Account Balance  
…","…","…","…","156"
"5.2.1   Merchandise Trade Account  
…","…","…","…","157"
"Trade Balance  
…","…","…","…","157"
"Export and Import Performance, Terms of Trade and Direction of Trade  …","","…","…","158"
"Export Performance  
…","…","…","…","158"
"Import Performance  
…","…","…","…","159"
"Terms of Trade  
…","…","…","…","162"
"Direction of Trade 
…","…","…","…","163"
"External Trade Policies, Developments and Institutional Support","…","…","…","165"
"5.2.2 
Services Account 
…","…","…","…","174"
"Travel and Tourism 
…","…","…","…","174"
"","Transport, Telecommunications, Computer and Information Services and Other Services","","…","176"
"5.2.3 
Primary Income 
…","…","…","…","177"
"5.2.4 
Secondary Income 
…","…","…","…","177"
"5.3  
Capital Account Balance 
…","…","…","…","178"
"5.4  
Financial Account 
…","…","…","…","178"
"5.5  
Overall Balance 
…","…","…","…","181"
"5.6  
International Investment Position (IIP) 
…","…","…","…","181"
"5.6.1 
Reserve Asset Position 
…","…","…","…","183"
"5.7  
External Debt and Debt Servicing 
…","…","…","…","185"
