"","Table 8.7","","","","","fresh  capital","in","the  prevailing  macroeconomic","","","",""
"","Profit of the Banking Sector","","","","","","","","","","",""
"","","","","","","","","Figure 8.8","","","",""
"","2021 (a)","","2022 (b)","","","","","","","","",""
"","","","","","","","Capital Ratios of the Banking Sector","","","","",""
"","Amount","As a %","Amount","As a %","","","","","","","",""
"Item","(Rs.bn)","of Avg.","(Rs.bn)","of Avg.","10,000","","","","","","","20"
"","","","","","","","","","","17.9","",""
"","","Assets","","Assets","","","","17.2","17.1","","",""
"","","","","","9,000","16.4","16.2","","","","","18"
"","","","","","","","","","","","15.3",""
"Net Interest Income","549.9","3.5","757.6","4.0","8,000","","","","","","","16"
"Interest Income","1,193.8","7.5","2,085.2","11.0","7,000","","","","","","","14"
"","","","","","","","","","","14.4","",""
"","","","","","6,000","13.4","","13.7","13.6","","","12"
"Interest Expenses","643.9","4.1","1,327.6","7.0","","","13.1","","","","",""
"","","","","","","","","","","","12.3",""
"","","","","","Rs billion
5,000","","","","","","","Per cent 
0"
"Non-Interest Income","152.9","1.0","277.0","1.5","","","","","","","",""
"","","","","","4,000","","","","","","",""
"Net Fee & Commission Income","88.6","0.6","127.5","0.7","","","","","","","",""
"","","","","","3,000","","","","","","",""
"Non-Interest Expenses","266.8","1.7","325.9","1.7","","","","","","","","024681"
"","","","","","2,000","","","","","","",""
"Staff Cost","147.0","0.9","173.8","0.9","","","","","","","",""
"","","","","","1,000","","","","","","",""
"","","","","","","5,713","6,787","7,137","7,640","8,236","9,355",""
"Impairment for Loans & Other Losses","157.6","1.0","456.1","2.4","","","","","","","",""
"","","","","","0","","","","","","",""
"Profit Before Tax (after VAT)","227.5","1.4","192.2","1.0","","2017","2018","2019","2020","2021","2022",""
"Profit After Tax","172.1","1.1","150.2","0.8","","","Risk Weighted Assets","","","Core CAR (Right Axis)","",""
"(a) Revised","","Source: Central Bank of Sri Lanka","","","","","Total CAR (Right Axis)","","","","",""
"(b) Provisional","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
