"","","","","","","","","","","",""
"","Date","Item","","","","","","","","Revision",""
"","","Desiccated Coconuts","","","","","","","","SCL of Rs. 300 per kg was imposed for a period of 
three  months  (Extraordinary  Gazette  Notification",""
"","","","","","","","","","","",""
"","","","","","","","","","","No. 2225/8).",""
"","","","","","","","","","","The balance amount after collecting Rs. 1 per kg from",""
"","","","","","","","","","","",""
"","","","","","","","","","","the applicable SCL of Rs. 300 per kg on importation",""
"","","","","","","","","","","",""
"","","","","","","","","","","of Desiccated Coconuts by the Government owned",""
"","","","","","","","","","","B.C.C. Lanka Limited up to a total of 13,000 MTs per",""
"","","","","","","","","","","",""
"","27.04.2021","","","","","","","","","",""
"","","","","","","","","","","month on the recommendation of the Secretary of",""
"","","","","","","","","","","the Ministry of Industries was waived off for a period",""
"","","","","","","","","","","of three months (Extraordinary Gazette Notification 
No. 2225/8).",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","Potatoes","","","","","","","","SCL was increased to Rs. 50 per kg from Rs. 15",""
"","","","","","","","","","","per  kg  for  a  period  of  six  months  (Extraordinary 
Gazette Notification No. 2225/13).",""
"","17.05.2021","Yoghurt, 
Red  Onions,  Garlic, 
Peas 
(whole and split), Chickpeas (whole and 
split), Dates (fresh and dried), Oranges 
(fresh  and  dried),  Lemons 
dried),  Grapes 
(fresh 
and 
dried), 
Apples, Quinces, Chillies (dried, neither 
crushed),  Chillies  (crushed  or  ground), 
Seeds of Cumin, Seeds of Fennel, Maize, 
Ground  Nuts 
(shelled),  Margarine, 
Canned Fish and Face Masks","","","(fresh  and","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","Imposition  of  SCL  was  extended  for  a  period 
of  one  year  (Extraordinary  Gazette  Notification",""
"","","","","","","","","","","",""
"","","","","","","","","","","No. 2228/3).",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","14.06.2021","Clementines 
(fresh 
and 
dried), 
Grapefruit, 
including  pomelos 
(fresh 
and 
dried), 
Pears, 
Apricots, 
Sour 
Cherries 
(prunus 
cerasus),  Cherries 
(other),  Peaches  (including  nectarines), 
Plums  and  Sloes,  Vegetable  Fats  and 
Oils and their Fractions and Margarine 
(other)","","","","","","","","Imposition  of  SCL  was  extended 
for  a  period 
of  one  year 
(Extraordinary  Gazette  Notification",""
"","","","","","","","","","","No. 2232/3).",""
"","18.07.2021","Grated  or  Powdered  Cheese,  Seeds  of 
Coriander,  Turmeric  (neither  crushed  nor 
ground and other) and Black Gram Flour","","","","","","","","Imposition  of  SCL  was  extended  for  a  period 
of  one  year  (Extraordinary  Gazette  Notification  
No. 2236/66).",""
"","11.08.2021","Sprats, Dried Fish, Butter, Dairy Spreads, 
Mathe  Seed,  Kurakkan  Flour,  Mustard 
Seeds and Salt","","","","","","","","Imposition  of  SCL  was  extended 
for  a  period 
of  one  year 
(Extraordinary  Gazette  Notification  
No. 2240/20).",""
"","","Salt","","","","","","","","The balance amount after collecting Rs. 10 per 
kg  from  the  applicable  SCL  of  Rs.  40  per  kg 
on  importation  of  Salt  by  any  pharmaceuticals 
manufacturing 
enterprises, 
registered 
with 
the  National  Medicines  Regulatory  Authority 
(NMRA) 
for 
the 
purpose  of  manufacturing 
pharmaceuticals,  not  for  commercial  purpose, 
on  the  recommendation  of  the  Secretary  of  the 
State Ministry in charge of subject of Production, 
Supply  and  Regulation  of  Pharmaceuticals  was 
waived off for a period of one year (Extraordinary 
Gazette Notification No. 2240/20).",""
"","","","","","","","","","","",""
