"Date","Item","Revision","","","","","","",""
"07.09.2021","B’onions","SCL was increased to Rs. 40 per kg from 25 Cents 
per kg for a period of six months (Extraordinary 
Gazette Notification No. 2244/8).","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"11.10.2021","Rice","SCL of Rs. 65 per kg was imposed for a period of 
four  months  (Extraordinary  Gazette  Notification","","","","","","",""
"","","","","","","","","",""
"","","No. 2249/3).","","","","","","",""
"","","The  balance  amount  after  collecting  25  cents 
per kg from the applicable SCL of Rs. 65 per kg 
on importation of Rice by Sri Lanka State Trading
(General) Corporation, on the recommendation 
of 
the 
Secretary  of 
was  waived  off 
(Extraordinary Gazette Notification No. 2249/3).","","","","the  Ministry  of 
Trade, 
for  a  period  of 
four  months","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"13.10.2021","Potatoes, Red and Yellow Lentils (whole 
and split) and Sugar","Imposition of SCL was extended for a period of 
six  months  (Extraordinary  Gazette  Notification 
No. 2249/16).","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"02.11.2021","Rice","The balance amount after collecting 25 cents per 
kg from the applicable SCL of Rs. 65 per kg was 
waived off for a period of six months (Extraordinary 
Gazette Notification No. 2252/25).","","","","","","",""
"","Maize","The  balance  amount  after  collecting  Rs.  1  per 
kg  from  the  applicable  SCL  of  Rs.  25  per  kg  on 
importation of maize for production of ‘Thriposha’, 
by  the  Government  owned  Sri  Lanka  Thriposha 
Limited, up to a total of 2,000 MTs, was waived off 
for a period of one month (Extraordinary Gazette 
Notification No. 2252/9).","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"23.11.2021","Desiccated Coconuts","Imposition of SCL was extended for a period of 
six  months  (Extraordinary  Gazette  Notification 
No. 2255/8).","","","","","","",""
"","","The balance amount after collecting Rs. 1 per kg 
from  the  applicable  SCL  of  Rs.  300  per  Kg  on 
importation  of  Desiccated  Coconuts  by  B.C.C. 
Lanka Ltd was waived off, on the recommendation 
of the Secretary of the Ministry of Industries, for 
a  period  of  six  months  (Extraordinary  Gazette 
Notification No. 2255/8).","","","","","","",""
"","","","","","","","","",""
"21.12.2021","Maize","The balance amount after collecting Rs. 10 per 
kg from the applicable SCL of Rs. 25 per kg on 
importation of Maize for production of “animal 
feeds” by the Manufactures, who have obtained","approval/recommendation  of 
of  Animal  Production  and  Health  up  to  a  total 
of  40,000  MTs,  was  waived  off  for  a  period  of 
six  months  (Extraordinary  Gazette  Notification  
No. 2259/9).","","","","","",""
"","","","","","","","","",""
"","","","","","","","the  Department","",""
"","","","","","","","","",""
