"Date","Item","Revision"
"13.01.2021","B'onions,  Red  and  Yellow  Lentils  (whole","Imposition  of  SCL  was  extended  for  a  period  of"
"","","three  months  (Extraordinary  Gazette  Notification"
"","",""
"","and split) and Sugar",""
"","","No. 2210/16)."
"18.01.2021","Grated  or  Powdered  Cheese,  Seeds  of","Imposition  of  SCL  was  extended  for  a  period  of"
"","Coriander, Turmeric (neither crushed nor",""
"","","six  months 
(Extraordinary  Gazette  Notification"
"","",""
"","ground and other)and Black Gram Flour","No. 2211/8)."
"11.02.2021","Sprats","SCL was increased to Rs. 100 per kg from Rs. 1 per 
kg for a period of six months (Extraordinary Gazette 
Notification No. 2214/58)."
"","",""
"","",""
"","Dried Fish and Potatoes","SCL  was  decreased 
for  a  period  of  six  months"
"","",""
"","","(Extraordinary Gazette Notification No. 2214/58)."
"","Mackerel, 
Jack  and  Horse  mackerel,","Imposition  of  SCL  was  extended 
for  a  period"
"","",""
"03.03.2021","Black  Gram, 
Cowpeas,  Millet 
and","of  one 
year 
(Extraordinary  Gazette  Notification"
"","",""
"","Kurakkan","No. 2217/23)."
"","",""
"13.04.2021","B'onions,  Red  and  Yellow  Lentils  (whole","Imposition  of  SCL  was  extended  for  a  period  of"
"","",""
"","","six  months 
(Extraordinary  Gazette  Notification"
"","and split) and Sugar",""
"","","No. 2223/2)."
"26.04.2021","Fish (fresh, chilled or frozen), Maldive Fish, 
Green  Gram 
(Moong),  Mangoesteens","Imposition  of  SCL  was  extended  for  a  period  of"
"","",""
"","","one 
year 
(Extraordinary  Gazette  Notification"
"","(fresh and dried) and Kiwifruit","No. 2225/1)."
